Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes
もう,もう,"1. now, soon, shortly, before long, presently<br>2. already, yet, by now, (not) anymore<br>3. further, more, again, another, the other<br>4. tsk, dammit, jeez, come on, what the hell",N5,49,昼間 注文したものが<b>もう</b>届くとは,"During the day, I can't believe what I ordered has already arrived.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
とか,とか,"1. and the like, such as, among other things, and so on<br>2. or something, something like, a (certain)<br>3. I hear that ..., people say that..., rumour has it that ...<br>4. or something, something like, or whatever",Unlabeled,49,別に変態<b>とか</b>じゃなくて！,I'm not a pervert or anything!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
こっち,こちら,"1. this way, this direction<br>2. here<br>3. this (one)<br>4. I, me, we, us<br>5. this person",N5,49,も<b>こっち</b>～！ ありがとう～！,Mokocchi~! Thank you!,"S01E02, S01E03, S01E04, S01E06, S01E08, S01E09, S01E11, S01E12"
ここ,ここ,"1. here, this place<br>2. this point, here, now<br>3. these past ... (e.g. three years), these last ...<br>4. the next ... (e.g. few days), these next ...",N5,48,なぜ私は <b>ここ</b>でこんなことを？,Why am I doing this here?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
今日,きょう,"1. today, this day<br>2. these days, recently, nowadays",N5,47,<b>今日</b>は本当にありがとう,Thank you so much for today,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
見る,みる,"1. to see, to look, to watch, to view, to observe<br>2. to examine, to look over, to assess, to check, to judge<br>3. to look after, to attend to, to take care of, to keep an eye on<br>4. to experience, to meet with (misfortune, success, etc.)<br>5. to try ..., to have a go at ..., to give ... a try<br>6. to see (that) ..., to find (that) ...",N5,46,つまり Ｈな夢を<b>見る</b>には―,"In other words, to have an erotic dream...","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
のに,のに,"1. although, despite, even though, and yet<br>2. whereas, while<br>3. if only, I wish<br>4. in order to",Unlabeled,45,切ってもらおうと思った<b>のに</b>,I was thinking of getting it cut,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E08, S01E09, S01E10, S01E11, S01E12"
かわいい,かわいい,"1. cute, adorable, charming, lovely, pretty<br>2. dear, precious, darling, pet<br>3. innocent, childlike, childish, lovable<br>4. dainty, cute little, tiny",N5,44,ヤツらに 私でも <b>かわいい</b>友達が,Even I have cute friends with them.,"S01E01, S01E02, S01E04, S01E05, S01E06, S01E08, S01E09, S01E10, S01E11, S01E12"
ー,ー,1. long vowel mark (usually only used in katakana),Unlabeled,44,胃がハチの巣になるわ<b>ー</b>っ！,My stomach turns into a beehive!,"S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
あれ,あれ,"1. that, that thing<br>2. that person<br>3. then, that time<br>4. that place (over there)<br>5. down there (i.e. one's genitals)<br>6. period, menses",N5,43,それに <b>あれ</b>を履くのは,And to wear that,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E10, S01E11, S01E12"
それ,それ,"1. that, it<br>2. then, that point (in time), that time<br>3. there<br>4. you",N5,43,<b>それ</b>が最も重要です,that is the most important,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
あの,あの,"1. that, those, the",N5,40,何で 私が<b>あの</b>デブと―,Why did I meet that fat guy?,"S01E01, S01E02, S01E03, S01E05, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
えっ,えっ,"1. huh?, what's up?",Unlabeled,39,え<b>えっ</b> ちょっと待って！,"Yeah, wait a minute!","S01E01, S01E02, S01E03, S01E04, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
こんな,こんな,"1. this sort of, this kind of, like this, such",N5,39,なぜ私は ここで<b>こんな</b>ことを？,Why am I doing this here?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
ちょっと,ちょっと,"1. a little, a bit, slightly<br>2. just a minute, for a moment, briefly<br>3. somewhat, rather, fairly, pretty, quite<br>4. (not) easily, (not) readily<br>5. hey!, come on, excuse me",N5,38,あと<b>ちょっと</b>で溢れそう！,It's going to be overflowing in a little while!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12"
だけ,だけ,Only,Unlabeled,37,さすがは女子高校生という<b>だけ</b>は,As expected from a high school girl,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
誰,だれ,1. who,N5,37,ほんとに<b>誰</b>でもいいから,It really can be anyone.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E12"
お前,おまえ,"1. you<br>2. presence (of a god, nobleman, etc.)",Unlabeled,36,“<b>お前</b>のことをメチャクチャに,“I’m messing with you.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E09, S01E10, S01E12"
今,いま,"1. now, the present time, just now, soon, immediately<br>2. another, more",N5,35,<b>今</b> 学校でニーソがはやってるんだ,Knee-high socks are now popular at school.,"S01E01, S01E02, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
男,おとこ,"1. man, male<br>2. fellow, guy, chap, bloke<br>3. male lover, boyfriend, man<br>4. manliness, manly honor, manly honour, manly reputation",N5,34,<b>男</b>に言い寄られたこともある,I was once approached by a man,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09"
できる,できる,"1. to be out of, to have no more at hand",N5,34,私が本気を出せば何でも<b>できる</b>！,"If I put my mind to it, I can do anything!","S01E01, S01E02, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12"
ちゃう,ちゃう,"1. to do completely<br>2. to do accidentally, to do without meaning to, to happen to do",Unlabeled,33,イケメンとも会話し<b>ちゃっ</b>た,I had a conversation with a handsome guy,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12"
なんて,なんて,"1. how ...!, what ...!<br>2. what?, what's that?",Unlabeled,33,ビビらすことができない<b>なんて</b>,That I can't freak out,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11"
くれる,くれる,To give (to me),N4,33,小学生までにしといて<b>くれ</b>よ,Please leave it until elementary school students.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
黒木,くろき,1. unbarked lumber,Unlabeled,32,<b>黒木</b>さんになっただけでも,Even just by becoming Kuroki-san.,"S01E01, S01E02, S01E03, S01E04, S01E06, S01E08, S01E10, S01E11, S01E12"
まで,まで,"1. until (a time), till, to, up to<br>2. to (a place), as far as<br>3. to (an extent), up to, so far as, even<br>4. only, merely",Unlabeled,32,といっても この世界に入る<b>まで</b>,"However, until I entered this world","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E10, S01E11, S01E12"
はい,はい,"1. yes, that is correct<br>2. understood, I see, OK, okay<br>3. present, here<br>4. pardon?, what's that?, come again?<br>5. now, here, here you go<br>6. giddy-up, giddap",N5,32,<b>はい</b> あと10分な～,"Yes, 10 minutes left.","S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
ありがとう,ありがとう,"1. thank you, thanks",N3,32,もこっち～！ <b>ありがとう</b>～！,Mokocchi~! Thank you!,"S01E02, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12"
だって,だって,"1. after all, because<br>2. but<br>3. even<br>4. too, as well, also<br>5. they say, I hear, you mean",N3,31,間違いは誰に<b>だって</b>ある,Everyone makes mistakes.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E12"
よい,よい,Good,N5,31,ともちゃんと同じ班で<b>よかっ</b>たね,I'm glad I'm in the same group as Tomo-chan.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
思う,おもう,"1. to think, to consider, to believe, to reckon<br>2. to think (of doing), to plan (to do)<br>3. to judge, to assess, to regard<br>4. to imagine, to suppose, to dream<br>5. to expect, to look forward to<br>6. to feel, to be (in a state of mind), to desire, to want<br>7. to recall, to remember",N4,31,ちょっとでも痴漢されたいと<b>思っ</b>た,I wanted to be molested even just a little bit.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E10, S01E11, S01E12"
時間,じかん,"1. time<br>2. hour<br>3. period, class, lesson",N5,30,おのおのが勝手に<b>時間</b>を潰す,Everyone wastes time on their own,"S01E01, S01E03, S01E04, S01E05, S01E06, S01E07, S01E09, S01E10, S01E11, S01E12"
俺,おれ,"1. I, me",N1,30,<b>俺</b>にそっくり！,Just like me!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E10, S01E12"
まあ,まあ,"1. just (e.g. ""just wait here""), come now, now, now<br>2. tolerably, passably, moderately, reasonably, fairly, rather, somewhat<br>3. well..., I think..., it would seem..., you might say..., Hmmm, I guess so...<br>4. oh!, oh dear!, oh, my!, wow!, goodness gracious!, good heavens!",N3,30,<b>まあ</b> キャラは定着するまでが,"Well, until the character becomes established.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E09, S01E10, S01E11, S01E12"
何で,なんで,"1. why?, what for?<br>2. how?, by what means?",N3,30,<b>何で</b> 電話がひとりでに？,Why are you on the phone by yourself?,"S01E01, S01E02, S01E03, S01E04, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
中,なか,"1. inside, interior, in<br>2. among, within<br>3. middle, center, centre<br>4. during, while, middle, midst, amid<br>5. interval, gap<br>6. mean, average<br>7. second (of three, e.g. sons, volumes), middle<br>8. medium grade, medium quality<br>9. red-light district",N5,30,イヤーッ！ アリがズボンの<b>中</b>に！,Yay! Ants in my pants!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
大丈夫,だいじょうぶ,"1. safe, secure, sound, problem-free, without fear, all right, alright, OK, okay<br>2. certainly, surely, undoubtedly<br>3. no thanks, I'm good, that's alright<br>4. great man, fine figure of a man",N5,30,ほんとに<b>大丈夫</b>ですから,It's really okay,"S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
そんな,そんな,"1. such, that sort of, that kind of, like that<br>2. no way!, never!",N4,29,全然<b>そんな</b>ことなくって！,Not at all!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
智子,智子,1. Tomoko (Auto-translated),Unlabeled,28,<b>智子</b>！ ちょっと！,Tomoko! a little bit!,"S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E12"
気,き,"1. spirit, mind, heart<br>2. nature, disposition<br>3. motivation, intention<br>4. mood, feelings<br>5. ambience, atmosphere, mood",N4,27,もう <b>気</b>にするっての！,You already care!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
楽しい,たのしい,"1. enjoyable, fun, pleasant, happy, delightful",N5,27,１人でも<b>楽しい</b>じゃないか,Isn't it fun to be alone?,"S01E01, S01E02, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
せる,せる,1. to compete<br>2. to bid<br>3. to sell at auction,Unlabeled,27,ゆうちゃんが私に履か<b>せ</b>たいと,Yu-chan wants me to wear it,"S01E01, S01E02, S01E04, S01E05, S01E06, S01E07, S01E09, S01E10, S01E11, S01E12"
さん,さん,"1. Mr., Mrs., Miss, Ms., -san<br>2. politeness marker",N5,26,あのことを今江<b>さん</b>に話したら―,When I told Imae-san about that...,"S01E01, S01E02, S01E05, S01E08, S01E09, S01E10, S01E11, S01E12"
帰る,かえる,"1. to return, to come home, to go home, to go back<br>2. to leave<br>3. to get home, to get to home plate",N5,26,本当に<b>帰り</b>やがった！,I really wanted to go home!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E10, S01E11, S01E12"
入る,いる,"1. to get in, to go in, to come in, to flow into, to set, to set in",N5,26,といっても この世界に<b>入る</b>まで,"However, until I entered this world","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E09, S01E10, S01E11, S01E12"
終わる,おわる,"1. to end, to come to an end, to close, to finish",N1,26,数日後には１学期が<b>終わる</b>,The first semester will end in a few days.,"S01E01, S01E02, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12"
日,ひ,"1. day, days<br>2. sun, sunshine, sunlight<br>3. (the) day, daytime, daylight<br>4. date, deadline<br>5. (past) days, time (e.g. of one's childhood)<br>6. case (esp. unfortunate), event",N4,25,数<b>日</b>後には１学期が終わる,The first semester will end in a few days.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11"
友達,ともだち,"1. friend, companion",N5,25,ヤツらに 私でも かわいい<b>友達</b>が,Even I have cute friends with them.,"S01E01, S01E02, S01E04, S01E06, S01E08, S01E09, S01E10, S01E11"
クラス,クラス,1. class,N5,25,でも <b>クラス</b>では小さいほうで,[Unavailable],"S01E01, S01E02, S01E03, S01E04, S01E08, S01E10, S01E11, S01E12"
女,おんな,"1. female, woman, female sex<br>2. female lover, girlfriend, mistress, (someone's) woman",N5,24,チャラ男とバカ<b>女</b>どもが,Foolish men and foolish women,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E10"
ヤツ,やつ,"1. fellow, guy, chap<br>2. thing, object<br>3. he, she, him, her",Unlabeled,24,<b>ヤツ</b>らに 私でも かわいい友達が,Even I have cute friends with them.,"S01E01, S01E02, S01E03, S01E05, S01E06, S01E09, S01E10, S01E11, S01E12"
いう,ゆう,"1. to do up (hair), to dress, to arrange<br>2. to tie, to bind, to fasten, to make (a fence)",Unlabeled,24,と<b>いっ</b>ても この世界に入るまで,"However, until I entered this world","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12"
じゃん,じゃーん,"1. ta-dah!, ta-da!, voilà!<br>2. clash, crash, bang",Unlabeled,24,え～ でも 親いる<b>じゃん</b>,"Eh, but you have parents.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E09, S01E10, S01E11, S01E12"
出る,でる,"1. to leave, to exit, to go out, to come out, to get out<br>2. to leave (on a journey), to depart, to start out, to set out<br>3. to move forward<br>4. to come to, to get to, to lead to, to reach<br>5. to appear, to come out, to emerge, to surface, to come forth, to turn up, to be found, to be detected, to be discovered, to be exposed, to show, to be exhibited, to be on display<br>6. to appear (in print), to be published, to be announced, to be issued, to be listed, to come out<br>7. to attend, to participate, to take part, to enter (an event), to play in, to perform<br>8. to be stated, to be expressed, to come up, to be brought up, to be raised<br>9. to sell<br>10. to exceed, to go over<br>11. to stick out, to protrude<br>12. to break out, to occur, to start, to originate<br>13. to be produced<br>14. to come from, to be derived from<br>15. to be given, to get, to receive, to be offered, to be provided, to be presented, to be submitted, to be handed in, to be turned in, to be paid<br>16. to answer (phone, door, etc.), to get<br>17. to assume (an attitude), to act, to behave<br>18. to pick up (speed, etc.), to gain<br>19. to flow (e.g. tears), to run, to bleed<br>20. to graduate<br>21. to ejaculate, to cum",N5,24,店を<b>出る</b>には,To leave the store,"S01E01, S01E03, S01E07, S01E08, S01E09, S01E10, S01E12"
ねえ,ね,"1. right?, don't you think<br>2. hey, come on, listen",Unlabeled,24,あさってんじゃ<b>ねえ</b>！ 死ね！,Don't wait until tomorrow! Die!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E08, S01E11, S01E12"
一緒,いっしょ,"1. together<br>2. at the same time<br>3. same, identical",N5,23,花火を<b>一緒</b>に見る人も,Some people watch fireworks together,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E10, S01E11"
あした,あさ,1. morning<br>2. breakfast<br>3. next morning,N3,23,ところで <b>あした</b>,"By the way, tomorrow","S01E03, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12"
