Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image
くる,くる,"1. to come (spatially or temporally), to approach, to arrive<br>2. to come back, to do ... and come back<br>3. to come to be, to become, to get, to grow, to continue<br>4. to come from, to be caused by, to derive from<br>5. to come to (i.e. ""when it comes to spinach ..."")",Unlabeled,30,でも　演奏はして<b>き</b>たんだよね,"But I've been playing, haven't I?",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
言う,いう,"1. to say, to utter, to declare<br>2. to name, to call<br>3. to go (e.g. ""the alarm went ping""), to make a noise",N5,30,何ッ　澪ちゃんも何とか<b>言い</b>なよ,"What? Mio-chan, please say something.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
やる,やる,"1. to do, to undertake, to perform, to play (a game), to study<br>2. to send, to dispatch, to despatch<br>3. to put, to move, to turn (one's head, glance, etc.)<br>4. to give (esp. to someone of equal or lower status), to let have, to present, to bestow, to confer<br>5. to make (a vehicle) go faster<br>6. to run (a business), to keep, to be engaged in, to practice (law, medicine, etc.), to practise<br>7. to have (food, drink, etc.), to eat, to drink, to smoke<br>8. to hold (a performance), to perform, to show<br>9. to ease (one's mind)<br>10. to harm, to injure, to kill<br>11. to have sex with<br>12. to live, to get by, to get along<br>13. to do ... completely<br>14. to do ... broadly, to do ... to a great distance<br>15. to do ... for (someone of equal or lower status), to do ... to (sometimes with negative nuance)<br>16. to make active efforts to ...",N5,29,私も<b>やり</b>たいです！,I want to do it too!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ある,ある,"1. to be, to exist, to live<br>2. to have<br>3. to be located<br>4. to be equipped with<br>5. to happen, to come about",N5,28,見ときたいものが<b>ある</b>んですが,There's something I'd like to see,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
私達,わたしたち,"1. we, us",Unlabeled,28,<b>私達</b>がもう１年　学校にいて,We've been in school for another year,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
これ,コレ,This one,N5,28,でも　<b>これ</b>はレンジがないと,But this requires a microwave.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
いる,いる,"1. to be (of animate objects), to exist<br>2. to stay<br>3. to be ...-ing, to have been ...-ing",Unlabeled,27,あずにゃんが<b>い</b>ないんだよ！,Azunyan is missing!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ちょっと,いっすん,"1. one sun (approx. 3.03 cm)<br>2. little bit (of time, distance, etc.)",N5,27,もう<b>ちょっと</b>　あずにゃんを,Just a little more Azunyan,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
じゃあ,で,"1. coming out, going out, outflow, efflux, rising (of the Sun or the Moon)<br>2. attending (work), appearing (on stage), one's turn to go on<br>3. start, beginning<br>4. origins, background, person (or item) originating from ..., graduate of ..., native of ..., member of ... (lineage)<br>5. architectural member that projects outward<br>6. highest point of the stern of a ship<br>7. amount (comprising something), amount of time or effort required to do something",N5,26,<b>じゃあ</b>　それでお願いします！,"Well then, please!",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
曲,きょく,"1. composition, piece of music, song, track (on a record)<br>2. tune, melody, air<br>3. enjoyment, fun, interest, pleasure",N1,26,ムギに<b>曲</b>つけてもらおうよ,Let's have Mugi write a song.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
もう,もう,"1. now, soon, shortly, before long, presently<br>2. already, yet, by now, (not) anymore<br>3. further, more, again, another, the other<br>4. tsk, dammit, jeez, come on, what the hell",N5,25,<b>もう</b>ちょっと　あずにゃんを,Just a little more Azunyan,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
思う,おもう,"1. to think, to consider, to believe, to reckon<br>2. to think (of doing), to plan (to do)<br>3. to judge, to assess, to regard<br>4. to imagine, to suppose, to dream<br>5. to expect, to look forward to<br>6. to feel, to be (in a state of mind), to desire, to want<br>7. to recall, to remember",N4,25,でも<b>思っ</b>てたのと　ちょっと違うわ,But it's a little different than I thought.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
っちゃん,ちゃん,1. suffix for familiar person,Unlabeled,24,り<b>っちゃん</b>のくせに,Even though it's Ricchan's habit,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
卒業,そつぎょう,"1. graduation, completion (of a course)<br>2. moving on (from), outgrowing (something), leaving (a group, company, etc.), quitting",N4,24,あずにゃんと一緒に<b>卒業</b>できると,I hope I can graduate with Azu-nyan.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
澪,ミオ,Mio,Unlabeled,23,<b>澪</b>先輩やムギ先輩はともかく,Aside from Mio-senpai and Mugi-senpai.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
じゃん,じゃーん,"1. ta-dah!, ta-da!, voilà!<br>2. clash, crash, bang",Unlabeled,23,ちゃんと伝統受け継いでる<b>じゃん</b>,We've inherited the tradition properly.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
すごい,すごい,"1. terrible, dreadful<br>2. amazing (e.g. of strength), great (e.g. of skills), wonderful, terrific<br>3. to a great extent, vast (in numbers)<br>4. awfully, very, immensely",N3,23,だって　今までにない<b>すごい</b>曲,Because it's the greatest song ever,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
さん,サン,Suffix for names (Mr./Ms.),N5,22,皆<b>さん</b>　他にリクエストはないですね,"Everyone, I don't have any other requests.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
できる,できる,"1. to be able (in a position) to do, to be up to the task<br>2. to be ready, to be completed<br>3. to be made, to be built<br>4. to be good at, to be permitted (to do)<br>5. to become intimate, to take up (with somebody)<br>6. to grow, to be raised<br>7. to become pregnant",N5,22,あずにゃんと一緒に卒業<b>できる</b>と,I hope I can graduate with Azu-nyan.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
達,たち,1. pluralizing suffix (esp. for people and animals; formerly honorific),Unlabeled,21,☎あなた<b>達</b>にもお願いできない？,☎Can I ask you guys a favor too?,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ッ,つば,"1. saliva, spit, sputum",Unlabeled,20,何<b>ッ</b>　澪ちゃんも何とか言いなよ,"What? Mio-chan, please say something.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
部,ぶ,"1. department (in an organization), division, bureau<br>2. club<br>3. part, component, element<br>4. category<br>5. counter for copies of a newspaper or magazine",N1,20,あずにゃんは　軽音<b>部</b>と,Azunyan is with the light music club,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
みんな,みんな,"1. everyone, everybody, all<br>2. everything, all",N5,20,＜３年間　ここで　<b>みんな</b>と,<3 years here with everyone,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
憂,ウレイ,Ui,Unlabeled,20,<b>憂</b>ちゃん　ありがとう！,"Thank you, Yu-chan!",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
見る,みる,"1. to see, to look, to watch, to view, to observe<br>2. to examine, to look over, to assess, to check, to judge<br>3. to look after, to attend to, to take care of, to keep an eye on<br>4. to experience, to meet with (misfortune, success, etc.)<br>5. to try ..., to have a go at ..., to give ... a try<br>6. to see (that) ..., to find (that) ...",N5,20,<b>見</b>ときたいものがあるんですが,There's something I'd like to see,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
大丈夫,だいじょうぶ,"1. safe, secure, sound, problem-free, without fear, all right, alright, OK, okay<br>2. certainly, surely, undoubtedly<br>3. no thanks, I'm good, that's alright<br>4. great man, fine figure of a man",N5,20,はい　もう<b>大丈夫</b>です,"Yes, it's okay now",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
あの,アノ,That (Distant),N5,19,＜<b>あの</b>子達は私が守ってみせる＞,<I will protect those children>,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
食べる,たべる,"1. to eat<br>2. to live on (e.g. a salary), to live off, to subsist on",N5,19,お茶のときに<b>食べる</b>お菓子も,Sweets to eat with tea,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
えッ,えっ,"1. huh?, what's up?",Unlabeled,18,<b>えッ</b>　大変！,"Huh, that’s tough!",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
だけ,だけ,"1. only, just, merely, simply, no more than, nothing but, alone<br>2. as much as, to the extent of, enough to",Unlabeled,18,これで後は　もう送り出す<b>だけ</b>ね,Now all that's left to do is send it off.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
うん,うん,"1. yes, yeah, uh huh<br>2. hum, hmmm, well, erm, huh?<br>3. oof",N4,18,<b>うん</b>　物でも事でもいいんだけどね,"Yeah, it could be something or something.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
軽音,けいおんがく,"1. light music, popular music<br>2. Light music",Unlabeled,17,あずにゃんは　<b>軽音</b>部と,Azunyan is with the light music club,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
いう,いう,"1. to say, to utter, to declare<br>2. to name, to call<br>3. to go (e.g. ""the alarm went ping""), to make a noise",Unlabeled,17,元はと<b>いえ</b>ば　ムギちゃんがお菓子,"Originally, Mugi-chan was the candy.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ここ,ココ,Here,N5,17,＜３年間　<b>ここ</b>で　みんなと,<3 years here with everyone,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
演奏,えんそう,1. musical performance,N3,17,でも　<b>演奏</b>はしてきたんだよね,"But I've been playing, haven't I?",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
この,コノ,This (Near Speaker),N5,16,私は　<b>この</b>路線でいきたいんだよ,I want to go this route,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
持つ,もつ,"1. to hold (in one's hand), to take, to carry<br>2. to possess, to have, to own<br>3. to maintain, to keep<br>4. to last, to be durable, to keep, to survive<br>5. to take charge of, to be in charge of<br>6. to hold (meeting, etc.), to have (opportunity, etc.)",N5,16,唯先輩は絶対<b>持っ</b>てくると思って,I thought Yui-senpai would definitely bring it.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
みたい,みたい,"1. -like, sort of, similar to, resembling",Unlabeled,16,とき<b>みたい</b>にはならないよ,It won't be like it was,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
くれる,くれる,"1. to give, to let (one) have<br>2. to give<br>3. to do for one, to take the trouble to do<br>4. to do to someone's disadvantage",N4,16,そっか　私達に翼を<b>くれ</b>たのは,"I see, the one who gave us wings is",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
旅行,りょこう,"1. travel, trip, journey, excursion, tour",N5,16,卒業<b>旅行</b>に行こうと思います,I want to go on a graduation trip,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
どこ,ドコ,Where?,N5,16,<b>どこ</b>に行くかを相談してたの,We were talking about where to go,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
時間,じかん,"1. time<br>2. hour<br>3. period, class, lesson",N5,16,あずにゃんと一緒にいた<b>時間</b>が,The time I spent with Azunyan,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
そんな,そんな,"1. such, that sort of, that kind of, like that<br>2. no way!, never!",N4,15,<b>そんな</b>にイギリスに行きたかったとは,I wanted to go to England so much,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ねえ,あね,"1. older sister, elder sister",Unlabeled,15,<b>ねえ</b>ねえ　バスとかで行けないかな,"Hey, I wonder if we can go by bus or something?",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
もん,もの,1. person,Unlabeled,14,ずっと　いてくれた<b>もん</b>だよ,You've been with me all this time.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
来る,くる,"1. to come (spatially or temporally), to approach, to arrive<br>2. to come back, to do ... and come back<br>3. to come to be, to become, to get, to grow, to continue<br>4. to come from, to be caused by, to derive from<br>5. to come to (i.e. ""when it comes to spinach ..."")",N5,14,梓ちゃんも<b>来</b>たことだし,Azusa-chan also came.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
よい,よい,"1. good, excellent, fine, nice, pleasant, agreeable<br>2. sufficient, enough, ready, prepared<br>3. profitable (deal, business offer, etc.), beneficial<br>4. OK, all right, fine, no problem",N5,14,このメモを元にして効率<b>よく</b>,"Based on this memo, you can efficiently",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
人,じん,"1. -ian (e.g. Italian), -ite (e.g. Tokyoite)<br>2. -er (e.g. performer, etc.), person working with ...<br>3. man, person, people",N5,14,♬～私前世は関西<b>人</b>！,♬～I was a Kansai person in my previous life!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
まで,まで,"1. until (a time), till, to, up to<br>2. to (a place), as far as<br>3. to (an extent), up to, so far as, even<br>4. only, merely",Unlabeled,14,私<b>まで</b>行くことになるなんて,I can't believe you'll even go to me,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ごはん,ごはん,1. cooked rice<br>2. meal,Unlabeled,14,とりあえず　「<b>ごはん</b>はおかず」を,"For now, ``Rice is a side dish.''",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
やっぱり,やはり,"1. as expected, sure enough, just as one thought<br>2. after all (is said and done), in the end, as one would expect, in any case<br>3. too, also, as well, likewise, (not) either<br>4. still, as before<br>5. all the same, even so, still, nonetheless",N4,13,はい　<b>やっぱり</b>,"Yes, after all",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ずっと,ずっと,"1. continuously in some state (for a long time, distance), throughout, all along, the whole time, all the way<br>2. much (better, etc.), by far, far and away<br>3. far away, long ago<br>4. direct, straight",N3,13,<b>ずっと</b>　いてくれたもんだよ,You've been with me all this time.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
一緒,いっしょ,"1. together<br>2. at the same time<br>3. same, identical",N5,13,あずにゃんと<b>一緒</b>に卒業できると,I hope I can graduate with Azu-nyan.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
じゃ,ジャ,Well then / To be (de-wa),N5,12,方向性を変えるつもり<b>じゃ</b>＞,I'm planning to change direction,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
はい,はい,"1. yes, that is correct<br>2. understood, I see, OK, okay<br>3. present, here<br>4. pardon?, what's that?, come again?<br>5. now, here, here you go<br>6. giddy-up, giddap",N5,12,<b>はい</b>　今から　ちょっと屋上で,"Yes, from now on, let's go to the rooftop for a while.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
お姉ちゃん,おねえちゃん,"1. older sister<br>2. lass, young lady",Unlabeled,12,あッ　<b>お姉ちゃん</b>達が一緒に,"Ah, the sisters are together",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
前,さき,"1. point, tip, end, nozzle<br>2. head (of a line), front<br>3. first, before, ahead (of)<br>4. (the way) ahead, beyond<br>5. future<br>6. previous, prior, former, recent, last<br>7. destination<br>8. rest (e.g. of a story), continuation, remaining part<br>9. the other party",N5,12,あッ　でも　その<b>前</b>に,"Ah, but before that",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
聞く,きく,"1. to hear<br>2. to listen (e.g. to music)<br>3. to ask, to enquire, to query<br>4. to hear about, to hear of, to learn of<br>5. to follow (advice, order, etc.), to obey, to listen to, to comply with<br>6. to hear (e.g. a plea), to grant (a request), to accept (e.g. an argument), to give consideration to<br>7. to smell (esp. incense), to sample (a fragrance)<br>8. to taste (alcohol), to try",N5,12,<b>聞い</b>てたというか聞こえたんです,"I was listening, or rather I heard it.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
あれ,アレ,That one over there,N5,12,<b>あれ</b>ッ　ホントに出てこない,"Ah, it really doesn't come out.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
れる,レ,Passive / Potential Form,Unlabeled,11,旅行の目的を聞か<b>れる</b>らしいです,Apparently you will be asked about the purpose of your trip.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
くださる,くださる,"1. to give, to confer, to bestow<br>2. to kindly do for one, to oblige, to favour, to favor",N4,11,そんなに見ないで<b>ください</b>　もう～,Please don't look at me that much anymore,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
なんて,なんて,"1. how ...!, what ...!<br>2. what?, what's that?",Unlabeled,11,役目を負うことになる<b>なんて</b>＞,I can't believe I'm going to take on the role.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
ありがとう,ありがとう,"1. thank you, thanks",N3,11,憂ちゃん　<b>ありがとう</b>！,"Thank you, Yu-chan!",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
帰る,かえる,"1. to return, to come home, to go home, to go back<br>2. to leave<br>3. to get home, to get to home plate",N5,11,あずにゃんのもとへ<b>帰り</b>ますので,I'm going back to Azu-nyan.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
いつ,いつ,"1. when, at what time, how soon<br>2. normal times, ordinary days",N5,11,♬～<b>いつ</b>まででも一緒にいたい,♬～I want to be with you forever,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
後,あと,"1. behind, rear<br>2. after, later<br>3. remainder, the rest<br>4. more (e.g. five more minutes), left<br>5. also, in addition<br>6. descendant, successor, heir<br>7. after one's death<br>8. past, previous",N5,10,これで<b>後</b>は　もう送り出すだけね,Now all that's left to do is send it off.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
その,ソノ,That (Near Listener),N5,10,あッ　でも　<b>その</b>前に,"Ah, but before that",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
られる,ラレル,Passive / Potential Form,Unlabeled,10,やっぱ逃げ<b>られ</b>そうにもないな,I don't think I can escape after all.,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
入る,いる,"1. to get in, to go in, to come in, to flow into, to set, to set in",N5,10,もう一度　<b>入る</b>勇気がない,I don't have the courage to enter again,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
すむ,すむ,"1. to finish, to end, to be completed<br>2. to merely result in something less severe than expected<br>3. to feel at ease<br>4. to feel unease or guilt for troubling someone, to be sorry",Unlabeled,10,<b>すみ</b>ません　ありがとうございます,"Sorry, thank you",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
今,いま,"1. now, the present time, just now, soon, immediately<br>2. another, more",N5,10,はい　<b>今</b>から　ちょっと屋上で,"Yes, from now on, let's go to the rooftop for a while.",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
大変,たいへん,"1. very, greatly, terribly, awfully<br>2. immense, enormous, great<br>3. serious, grave, dreadful, terrible<br>4. difficult, hard<br>5. major incident, disaster",N3,10,えッ　<b>大変</b>！,"Huh, that’s tough!",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
分かる,わかる,"1. to understand, to comprehend, to grasp, to see, to get, to follow<br>2. to become clear, to be known, to be discovered, to be realized, to be realised, to be found out<br>3. I know!, I think so too!",N5,10,<b>分から</b>なくなると思って,I thought I wouldn't understand,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
寝る,ねる,"1. to sleep (lying down)<br>2. to go to bed, to lie in bed<br>3. to lie down<br>4. to sleep (with someone, i.e. have intercourse)<br>5. to lie flat (e.g. of hair)<br>6. to lie idle (of funds, stock, etc.)<br>7. to ferment (of soy sauce, miso, etc.)",N5,10,それは<b>寝る</b>ときの靴下の話！,It's about socks when you sleep!,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
考える,かんがえる,"1. to think (about, of), to think over, to ponder, to contemplate, to reflect (on), to meditate (on)<br>2. to consider, to bear in mind, to allow for, to take into consideration<br>3. to think (that), to believe, to hold (a view), to judge, to conclude, to suspect<br>4. to intend (to do), to think of (doing), to plan<br>5. to predict, to anticipate, to expect, to imagine<br>6. to come up with, to think up, to contrive, to devise<br>7. to consider (as), to regard (as), to look on (as), to take, to view",N4,10,でも　冷静に<b>考える</b>と,But if you think about it calmly,[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
明日,あした,1. tomorrow<br>2. near future,N5,10,日本では<b>明日</b>になってるんでしょ,"In Japan, it's tomorrow, right?",[shincaps] K-ON! Movie (AT-X 1440x1080 MPEG2 AAC),
