Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes
って,って,"1. you said, he said, she said, they said<br>2. if ... then<br>3. do you seriously think that<br>4. I already told you, you should know by now that, of course<br>5. the said ..., said ...<br>6. says that ...<br>7. I hear that ...<br>8. as for the term ...<br>9. as for ...",Unlabeled,139,オオカミが強い<b>って</b>ことに,That wolves are strong,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
ある,ある,To be (inanimate),N5,136,もっと話すべきことが<b>ある</b>でしょ,"There's more to talk about, right?","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
ます,ます,Polite verb suffix,Unlabeled,134,親しい仲とは とても言え<b>ませ</b>んが,"I can't say we're close friends, though.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
レゴシ,レゴシ,1. legoshi (Auto-translated),Unlabeled,129,でも <b>レゴシ</b>のことは 今日は,But about Legosi today.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
なる,なる,To become,N5,128,何をしても間違いには<b>なら</b>ないよ,You can't go wrong no matter what you do,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
君,きみ,"1. you, buddy, pal<br>2. monarch, ruler, sovereign, (one's) master",N4,125,<b>君</b>と日なたを歩いてもいいですか,Can I walk in the sun with you?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
れる,れる,Passive/Potential form,Unlabeled,124,にしては さらわ<b>れ</b>た側が,"However, the kidnapped side","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
この,きゅう,1. nine,N5,108,でも <b>この</b>子たちには,But for these kids,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
お前,おまえ,"1. you<br>2. presence (of a god, nobleman, etc.)",Unlabeled,108,<b>お前</b>は 俺に敵意と牙を,You give me hostility and fangs,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
あの,あの,"1. that, those, the",N5,101,<b>あの</b> 肉食が草食に牙を向けるのは,The carnivores turn their fangs on the herbivores.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
そう,そう,"1. appearing that, seeming that, looking like, having the appearance of",N4,100,<b>そう</b>だ 俺には何も言えない,"Yeah, I can't say anything","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
じゃ,じゃあ,"1. then, well, so, well then<br>2. be, is",N5,95,でも 肉食獣なのは確か<b>じゃ</b>ない,But I'm not sure it's a carnivore.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
言う,いう,"1. to say, to utter, to declare<br>2. to name, to call<br>3. to go (e.g. ""the alarm went ping""), to make a noise",N5,93,俺が<b>言う</b>資格は１つもない,I don't have any qualifications to say,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
あなた,あなた,"1. you<br>2. dear, honey",N5,86,<b>あなた</b>が強いことには,that you are strong,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
ハル,ハル,Haru,Unlabeled,83,でも こいつと<b>ハル</b>が,But this guy and Haru,"S01E01, S01E05, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
先輩,せんぱい,"1. senior (at work or school), superior, elder, older graduate, progenitor, old-timer",N4,82,ルイ<b>先輩</b>が来てくれるとは,I didn't expect Louis-senpai to come.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E12"
いい,いい,Good,N5,81,君と日なたを歩いても<b>いい</b>ですか,Can I walk in the sun with you?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
けど,けど,But / Although,Unlabeled,80,とても目の前では言えない<b>けど</b>,"I can't really say it in front of you, but","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
ルイ,ルイ,Rui,Unlabeled,80,それにしても現場に<b>ルイ</b>がいると,"Even so, Louis is on the scene.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E12"
たい,たい,Want to...,Unlabeled,78,でも 俺は光を浴びて生き<b>たい</b>,But I want to live bathed in light,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
”,”,1. ” (Auto-translated),Unlabeled,76,でも“レゴシ君を幸せに<b>”</b>かあ,But “make Legosi-kun happy” huh?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
でも,でも,"1. but, however, though, nevertheless, still, yet, even so, also, as well<br>2. even<br>3. however, no matter how, even if, even though<br>4. ... or something<br>5. either ... or ..., neither ... nor ...<br>6. pseudo-, quack, in-name-only<br>7. for lack of anything better to do",N5,76,<b>でも</b> 部員が死んだのに,But even though the member died,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
“,ふるさとのうぜい,"1. hometown tax, system in which taxpayers can choose to divert part of their residential tax to a specified local government",Unlabeled,75,でも<b>“</b>レゴシ君を幸せに”かあ,But “make Legosi-kun happy” huh?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
肉食,にくしょく,"1. meat eating, eating of meat, meat diet<br>2. carnivorous",Unlabeled,73,あの <b>肉食</b>が草食に牙を向けるのは,The carnivores turn their fangs on the herbivores.,"S01E01, S01E02, S01E03, S01E04, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
分かる,わかる,"1. to understand, to comprehend, to grasp, to see, to get, to follow<br>2. to become clear, to be known, to be discovered, to be realized, to be realised, to be found out<br>3. I know!, I think so too!",N5,72,あなたに何が<b>分かる</b>んですか？,What do you know?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
やる,やる,To do,N5,68,あのオオカミにも分けて<b>やれ</b>よ,Give it to that wolf too.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
どう,どう,"1. how, in what way, how about",N5,68,今は <b>どう</b>でもいい,It doesn't matter now,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
なんて,なんて,"1. how ...!, what ...!<br>2. what?, what's that?",Unlabeled,65,私は牙を向ける<b>なんて</b>ことは,I'll never show my fangs,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
ちゃん,ちゃん,1. suffix for familiar person,N4,63,俺がハル<b>ちゃん</b>と出会うよりも,Than I met Haru-chan,"S01E01, S01E05, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
くる,くる,To come,Unlabeled,62,たまには本気で挑んで<b>こい</b>よ,Give it a serious try once in a while,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
今,いま,"1. now, the present time, just now, soon, immediately<br>2. another, more",N5,62,<b>今</b>のが呪文でないことは,The fact that this is not a spell is that,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
たち,やかた,"1. mansion, palace, manor house, castle<br>2. nobleman, noblewoman, dignitary<br>3. cabin (on a boat, carriage, etc.)",Unlabeled,61,でも この子<b>たち</b>には,But for these kids,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
オオカミ,おおかみ,"1. wolf (Canis lupus)<br>2. wolf in sheep's clothing, womanizer",Unlabeled,61,まあ さすがに<b>オオカミ</b>とウサギで,"Well, as expected, it's the wolf and the rabbit.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
いや,ほんけ,"1. head house (family), birthplace, originator",Unlabeled,61,<b>いや</b> 言ってることは分かるけど,"No, I know what you're saying.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
自分,じぶん,"1. myself, yourself, oneself, himself, herself<br>2. I, me<br>3. you",N5,59,ひがむ前に<b>自分</b>を正せ,Correct yourself before you cringe,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
くれる,くれる,To give (to me),N4,59,ルイ先輩が来て<b>くれる</b>とは,I didn't expect Louis-senpai to come.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
ああ,ああ,"1. ah!, oh!, alas!<br>2. yes, indeed, that is correct<br>3. aah, gah, argh<br>4. hey!, yo!<br>5. uh huh, yeah yeah, right, gotcha",N4,59,ルイ先輩には <b>ああ</b>言ったけど,I said that to Louis-senpai.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
もう,もう,"1. now, soon, shortly, before long, presently<br>2. already, yet, by now, (not) anymore<br>3. further, more, again, another, the other<br>4. tsk, dammit, jeez, come on, what the hell",N5,57,翌日には <b>もう</b>とがってて,The next day it was already sharp,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
獣,けもの,"1. beast, brute, animal",N1,54,でも 肉食<b>獣</b>なのは確かじゃない,But I'm not sure it's a carnivore.,"S01E01, S01E02, S01E03, S01E04, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
これ,これ,"1. this, this one<br>2. this person<br>3. now, this point (in time)<br>4. here<br>5. used to stress the subject of a sentence<br>6. I, me",N5,53,<b>これ</b>で返したことになるかな,I guess this means I've returned it,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
られる,られる,Passive/Potential form,Unlabeled,51,自然に 俺が負け<b>られる</b>か,Can I naturally lose?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
見る,みる,"1. to see, to look, to watch, to view, to observe<br>2. to examine, to look over, to assess, to check, to judge<br>3. to look after, to attend to, to take care of, to keep an eye on<br>4. to experience, to meet with (misfortune, success, etc.)<br>5. to try ..., to have a go at ..., to give ... a try<br>6. to see (that) ..., to find (that) ...",N5,51,きっと悪い夢でも<b>見</b>たのよ,I must have had a bad dream,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
その,その,"1. that, the<br>2. part (as in ""part two"")<br>3. um ..., er ..., uh ...",N5,51,<b>その</b>頃には もうほぼ 新聞,"By that time, almost everything was in the newspaper.","S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
あっ,あっ,"1. ah, oh<br>2. hey!",N3,49,<b>あっ</b> これも その靴と一緒に,"Ah, these too, along with those shoes.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
みんな,みんな,"1. everyone, everybody, all<br>2. everything, all",N5,48,<b>みんな</b>が楽しみにしてんのは,What everyone is looking forward to,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
子,こ,"1. child<br>2. young (animal)<br>3. young woman, young geisha<br>4. offshoot<br>5. interest<br>6. new shares<br>7. player who is not a dealer (in cards, mahjong, etc.)<br>8. bird egg<br>9. -er (often of young women)",N4,48,でも この<b>子</b>たちには,But for these kids,"S01E01, S01E02, S01E03, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
思う,おもう,"1. to think, to consider, to believe, to reckon<br>2. to think (of doing), to plan (to do)<br>3. to judge, to assess, to regard<br>4. to imagine, to suppose, to dream<br>5. to expect, to look forward to<br>6. to feel, to be (in a state of mind), to desire, to want<br>7. to recall, to remember",N4,48,俺なら勝てるとでも<b>思っ</b>たか,Did you think I could win?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
ねえ,ね,"1. right?, don't you think<br>2. hey, come on, listen",Unlabeled,46,俺が行って 大丈夫ですか<b>ねえ</b>,Is it okay for me to go?,"S01E01, S01E02, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
１,ワン,1. one,Unlabeled,46,<b>１</b>日目と がらりと変わったのは,What has changed drastically since the first day is,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
それ,それ,"1. that, it<br>2. then, that point (in time), that time<br>3. there<br>4. you",N5,46,<b>それ</b>を発揮されても困るな,I don't mind if you demonstrate that.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
まで,まで,"1. until (a time), till, to, up to<br>2. to (a place), as far as<br>3. to (an extent), up to, so far as, even<br>4. only, merely",Unlabeled,44,今<b>まで</b>と特に変わらないから,Because it's not much different than before,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E10, S01E11, S01E12"
行く,いく,"1. to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach<br>2. to proceed, to take place<br>3. to pass through, to come and go<br>4. to walk<br>5. to die, to pass away<br>6. to do (in a specific way)<br>7. to stream, to flow<br>8. to continue<br>9. to have an orgasm, to come, to cum<br>10. to trip, to get high, to have a drug-induced hallucination",N5,44,園芸部に花もらいに<b>行っ</b>てって,I went to the gardening club to get some flowers.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
ウサギ,うさぎ,"1. rabbit, hare, coney, cony, lagomorph (esp. leporids)",Unlabeled,42,まあ さすがにオオカミと<b>ウサギ</b>で,"Well, as expected, it's the wolf and the rabbit.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
匹,ひき,1. counter for small animals<br>2. counter for rolls of cloth (two han in size)<br>3. counter for horses<br>4. roll of cloth,N1,42,２<b>匹</b>とも若いのに立派だよ,They're both young and in good shape.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E12"
だけ,だけ,Only,Unlabeled,42,くだらん組織に覆されること<b>だけ</b>は,The only thing that will happen is that it will be overthrown by a stupid organization.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
聞く,きく,"1. to hear<br>2. to listen (e.g. to music)<br>3. to ask, to enquire, to query<br>4. to hear about, to hear of, to learn of<br>5. to follow (advice, order, etc.), to obey, to listen to, to comply with<br>6. to hear (e.g. a plea), to grant (a request), to accept (e.g. an argument), to give consideration to<br>7. to smell (esp. incense), to sample (a fragrance)<br>8. to taste (alcohol), to try",N5,41,逆に こっちが<b>聞き</b>たいよ,"On the contrary, I want to hear this","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
さん,さん,"1. Mr., Mrs., Miss, Ms., -san<br>2. politeness marker",N5,41,死に神<b>さん</b>　どうして彼らは,"God of death, why are they?","S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E12"
ちょっと,ちょっと,"1. a little, a bit, slightly<br>2. just a minute, for a moment, briefly<br>3. somewhat, rather, fairly, pretty, quite<br>4. (not) easily, (not) readily<br>5. hey!, come on, excuse me",N5,39,<b>ちょっと</b>！,a little bit!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
来る,くる,"1. to come (spatially or temporally), to approach, to arrive<br>2. to come back, to do ... and come back<br>3. to come to be, to become, to get, to grow, to continue<br>4. to come from, to be caused by, to derive from<br>5. to come to (i.e. ""when it comes to spinach ..."")",N5,39,俺を本気で襲いに<b>来る</b>こと,To come and attack me seriously,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
ちゃう,ちゃう,"1. to do completely<br>2. to do accidentally, to do without meaning to, to happen to do",Unlabeled,38,ごはんが まずくなっ<b>ちゃっ</b>た,My meal went bad.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E10, S01E11, S01E12"
ここ,ここ,"1. here, this place<br>2. this point, here, now<br>3. these past ... (e.g. three years), these last ...<br>4. the next ... (e.g. few days), these next ...",N5,37,“<b>ここ</b>で出会うとは皮肉だな,“It’s ironic that we meet here.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11"
だって,だって,"1. after all, because<br>2. but<br>3. even<br>4. too, as well, also<br>5. they say, I hear, you mean",N3,36,<b>だって</b> もし この状態で,Because if in this state,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
知る,しる,"1. to be aware of, to know, to be conscious of, to cognize, to cognise<br>2. to notice, to feel<br>3. to understand, to comprehend, to grasp<br>4. to remember, to be acquainted with (a procedure)<br>5. to experience, to go through, to learn<br>6. to be acquainted with (a person), to get to know<br>7. to concern",N5,36,絶対に<b>知ら</b>れてはならないという,It must never be known,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
より,より,"1. than<br>2. from, out of, since, at, on<br>3. except, but, other than<br>4. more",N5,36,いつものどん<b>より</b>とは格が違う,It's different from the usual Donyori,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
なあ,なあ,"1. hey, say, look",Unlabeled,36,ウサギが住んでるのか<b>なあ</b>,I wonder if a rabbit lives there,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
食う,くう,"1. to eat<br>2. to live, to make a living, to survive<br>3. to bite, to sting (as insects do)<br>4. to tease, to torment, to taunt, to make light of, to make fun of<br>5. to encroach on, to eat into, to consume<br>6. to defeat a superior, to threaten a position<br>7. to consume time and-or resources<br>8. to receive something (usu. an unfavourable event)<br>9. to have sexual relations with a woman, esp. for the first time",N3,36,紙を<b>食う</b>ことくらいだろう,Probably nothing more than eating paper.,"S01E01, S01E02, S01E03, S01E05, S01E06, S01E08, S01E09, S01E10, S01E11, S01E12"
時,とき,"1. time, hour, moment<br>2. occasion, case<br>3. chance, opportunity, season<br>4. the times, the age, the day<br>5. tense",N3,35,あなたと つるんでる<b>時</b>は,When I'm hanging out with you,"S01E01, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E10, S01E11, S01E12"
部,ぶ,"1. department (in an organization), division, bureau<br>2. club<br>3. part, component, element<br>4. category<br>5. counter for copies of a newspaper or magazine",N1,35,園芸<b>部</b>に花もらいに行ってって,I went to the gardening club to get some flowers.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E12"
２,に,1. two,Unlabeled,35,<b>２</b>匹とも若いのに立派だよ,They're both young and in good shape.,"S01E01, S01E02, S01E03, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12"
食べる,たべる,"1. to eat<br>2. to live on (e.g. a salary), to live off, to subsist on",N5,34,俺は本気で君を<b>食べよ</b>うとした,I seriously tried to eat you,"S01E01, S01E02, S01E03, S01E05, S01E06, S01E08, S01E10, S01E11, S01E12"
そんな,そんな,"1. such, that sort of, that kind of, like that<br>2. no way!, never!",N4,34,でも <b>そんな</b>ことは不可能よ,But that's impossible,"S01E01, S01E02, S01E03, S01E04, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
せる,せる,1. to compete<br>2. to bid<br>3. to sell at auction,Unlabeled,33,美術には怒ら<b>せる</b>とヤバいのが,There's something dangerous about art when you get angry.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
大丈夫,だいじょうぶ,"1. safe, secure, sound, problem-free, without fear, all right, alright, OK, okay<br>2. certainly, surely, undoubtedly<br>3. no thanks, I'm good, that's alright<br>4. great man, fine figure of a man",N5,33,ありがとう　でも<b>大丈夫</b>,"Thank you, but it's okay","S01E01, S01E02, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
こんな,こんな,"1. this sort of, this kind of, like this, such",N5,32,舞台で <b>こんな</b>全力を出せる日が,One day I'll be able to give my all on stage,"S01E01, S01E02, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
ホント,ほんとう,"1. truth, reality, actuality, fact<br>2. proper, right, correct, official<br>3. genuine, authentic, real, natural, veritable",Unlabeled,31,月って <b>ホント</b>に,The moon is really,"S01E01, S01E03, S01E05, S01E07, S01E08, S01E09, S01E11, S01E12"
今日,きょう,"1. today, this day<br>2. these days, recently, nowadays",N5,31,でも レゴシのことは <b>今日</b>は,But about Legosi today.,"S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11"
誰,だれ,1. who,N5,31,<b>誰</b>にも言えない秘密が,A secret that I can't tell anyone,"S01E02, S01E03, S01E04, S01E05, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
よう,よう,Way / Like / As if,Unlabeled,30,隠し<b>よう</b>もない自分の野性に,I can't hide my wildness,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
えっ,えっ,"1. huh?, what's up?",Unlabeled,30,<b>えっ</b> おい！,"Oh, hey!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
いく,いく,"1. reverence, awe, fear",N1,30,<b>いか</b>ないことでも増えた？,Did it increase even though it didn't go well?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
おい,おい,"1. hey!, oi!, ahoy!<br>2. I, me",Unlabeled,29,<b>おい</b> なんで お前がここに？,"Hey, why are you here?","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E08, S01E09, S01E10, S01E12"
かも,かも,"1. duck<br>2. easy mark, sucker, sitting duck",Unlabeled,29,相手には いい迷惑<b>かも</b>,It might be a nuisance to the other person.,"S01E02, S01E03, S01E05, S01E06, S01E07, S01E08, S01E10, S01E11, S01E12"
のに,のに,"1. although, despite, even though, and yet<br>2. whereas, while<br>3. if only, I wish<br>4. in order to",Unlabeled,28,でも 部員が死んだ<b>のに</b>,But even though the member died,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12"
草食,そうしょく,"1. herbivorous, plant-eating, graminivorous",Unlabeled,28,俺を<b>草食</b>でまとめるな！,Don't label me as a herbivore!,"S01E01, S01E02, S01E03, S01E04, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
動物,どうぶつ,1. animal,N5,28,小<b>動物</b>の血を飲んだことは―,Have you ever drank the blood of a small animal?,"S01E01, S01E02, S01E03, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12"
