Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes
人,じん,"1. -ian (e.g. Italian), -ite (e.g. Tokyoite)<br>2. -er (e.g. performer, etc.), person working with ...<br>3. man, person, people",N5,89,でッ でも お姉ちゃんは やるときには やる<b>人</b>です,"But when it comes time to do something, my sister is the one who does it.","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
ムギ,むぎつく,1. Pungtungia herzi (species of cyprinid),Unlabeled,87,あと少しで 私も<b>ムギ</b>も交代になるからさ,Mugi and I will be taking turns in a little while.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
軽,けい,"1. light (e.g. aircraft, truck)<br>2. light motor vehicle (up to 660cc and 64bhp), kei car",Unlabeled,86,まさか <b>軽</b>音部にこんな危機が訪れるとは 思っていませんでした,I never thought that such a crisis would come to the light music club.,"Episode01, Episode02, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode14"
練習,れんしゅう,"1. practice, training, drill, (an) exercise, workout",N5,84,１日でも早く<b>練習</b>して みんなと一緒に演奏したいもん,I want to practice as early as possible and play with everyone.,"Episode02, Episode03, Episode04, Episode05, Episode06, Episode09, Episode10, Episode11, Episode12, Episode13"
姉ちゃん,ねえちゃん,"1. (one's) older sister, (one's) elder sister<br>2. girl",Unlabeled,83,でッ でも お<b>姉ちゃん</b>は やるときには やる人です,"But when it comes time to do something, my sister is the one who does it.","Episode01, Episode02, Episode03, Episode04, Episode07, Episode08, Episode10, Episode11, Episode12, Episode13, Episode14"
ちゃ,ちゃ,"1. tea<br>2. tea plant (Camellia sinensis)<br>3. tea preparation, making tea<br>4. brown<br>5. mockery",Unlabeled,81,こ こちらこそ！りっ<b>ちゃ</b>んがいつもお世話になってますッ,Hello! Ricchan is always taking care of me.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode10, Episode11, Episode12, Episode13, Episode14"
言う,いう,"1. to say, to utter, to declare<br>2. to name, to call<br>3. to go (e.g. ""the alarm went ping""), to make a noise",N5,81,「ご一緒にポテトも いかがですか？」って<b>言わ</b>れるの,"People ask me, ``Would you like some fries with your meal?''","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
もう,もう,"1. now, soon, shortly, before long, presently<br>2. already, yet, by now, (not) anymore<br>3. further, more, again, another, the other<br>4. tsk, dammit, jeez, come on, what the hell",N5,79,<b>もう</b> そんなことありません！,That's not the case anymore!,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
音部,音部,1. Radical 180,Unlabeled,79,まさか 軽<b>音部</b>にこんな危機が訪れるとは 思っていませんでした,I never thought that such a crisis would come to the light music club.,"Episode01, Episode02, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode14"
この,きゅう,1. nine,N5,79,<b>この</b>まま唯には休んでおいてもらった方がいいのかも,Maybe it's better to just let Yui rest like this.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
うん,うん,"1. yes, yeah, uh huh<br>2. hum, hmmm, well, erm, huh?<br>3. oof",N4,77,<b>うん</b> でもこんなにいい機会めったにないでしょ,"Yes, but opportunities like this are rare.","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
えッ,えッ,1. Huh? (Auto-translated),Unlabeled,76,<b>えッ</b> みんなを巻き込んで？,What? Involve everyone?,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
ギター,ギター,1. guitar,N5,71,今日は 私が<b>ギター</b>を忘れたせいで こんなに遅れてしまいました,I'm so late today because I forgot my guitar.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode07, Episode09, Episode11, Episode12, Episode13"
大丈夫,だいじょうぶ,"1. safe, secure, sound, problem-free, without fear, all right, alright, OK, okay<br>2. certainly, surely, undoubtedly<br>3. no thanks, I'm good, that's alright<br>4. great man, fine figure of a man",N5,71,でも ホントに唯で<b>大丈夫</b>なの？,But is Yui really okay?,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode12, Episode13, Episode14"
見る,みる,"1. to see, to look, to watch, to view, to observe<br>2. to examine, to look over, to assess, to check, to judge<br>3. to look after, to attend to, to take care of, to keep an eye on<br>4. to experience, to meet with (misfortune, success, etc.)<br>5. to try ..., to have a go at ..., to give ... a try<br>6. to see (that) ..., to find (that) ...",N5,67,キミを<b>見</b>てると　いつもハートDOKI★DOKI,"When I look at you, my heart is always DOKI★DOKI","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode10, Episode11, Episode12, Episode13, Episode14"
できる,できる,"1. to be out of, to have no more at hand",N5,67,残念だが 私の力ではどうすることも<b>でき</b>ない,"I'm sorry, but there's nothing I can do about it.","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
行く,いく,"1. to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach<br>2. to proceed, to take place<br>3. to pass through, to come and go<br>4. to walk<br>5. to die, to pass away<br>6. to do (in a specific way)<br>7. to stream, to flow<br>8. to continue<br>9. to have an orgasm, to come, to cum<br>10. to trip, to get high, to have a drug-induced hallucination",N5,66,ところで 何を買いに<b>行く</b>んですか？,"By the way, what are you going to buy?","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode13, Episode14"
ちゃう,ちゃう,"1. to do completely<br>2. to do accidentally, to do without meaning to, to happen to do",Unlabeled,65,それが １つのことを覚えたら １つのことを忘れ<b>ちゃっ</b>て,"If you remember one thing, you forget one thing.","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
だけ,だけ,Only,Unlabeled,63,で あとは薬指<b>だけ</b>パッと,"So, all that's left to do is snap your ring finger.","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode14"
ちょっと,ちょっと,"1. a little, a bit, slightly<br>2. just a minute, for a moment, briefly<br>3. somewhat, rather, fairly, pretty, quite<br>4. (not) easily, (not) readily<br>5. hey!, come on, excuse me",N5,61,ああ では <b>ちょっと</b>見せてもらいますね,"Oh, let me show you a little bit.","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
あの,あの,"1. that, those, the",N5,61,でも 何で唯先輩は <b>あの</b>ギター買ったんですか？,But why did Yui-senpai buy that guitar?,"Episode01, Episode02, Episode03, Episode05, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
ああ,ああ,"1. ah!, oh!, alas!<br>2. yes, indeed, that is correct<br>3. aah, gah, argh<br>4. hey!, yo!<br>5. uh huh, yeah yeah, right, gotcha",N4,59,<b>ああ</b> では ちょっと見せてもらいますね,"Oh, let me show you a little bit.","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
はい,はい,"1. yes, that is correct<br>2. understood, I see, OK, okay<br>3. present, here<br>4. pardon?, what's that?, come again?<br>5. now, here, here you go<br>6. giddy-up, giddap",N5,59,<b>はい</b> ありがとね,"Yes, thank you","Episode01, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
先生,せんせい,"1. teacher, instructor, master<br>2. sensei, title or form of address for a teacher, master, doctor, lawyer, etc.<br>3. intimate or teasing form of address<br>4. one's elder",N5,58,<b>先生</b>のときは おしとやかキャラで通すって決めてたのに,"When I was a teacher, I decided to pass as a ladylike character.","Episode01, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode14"
たい,たい,Want to...,Unlabeled,58,１日でも早く練習して みんなと一緒に演奏し<b>たい</b>もん,I want to practice as early as possible and play with everyone.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
とか,とか,"1. and the like, such as, among other things, and so on<br>2. or something, something like, a (certain)<br>3. I hear that ..., people say that..., rumour has it that ...<br>4. or something, something like, or whatever",Unlabeled,56,もしくは 代わりを探す<b>とか</b>ね,Or maybe look for a replacement.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
来る,くる,"1. to come (spatially or temporally), to approach, to arrive<br>2. to come back, to do ... and come back<br>3. to come to be, to become, to get, to grow, to continue<br>4. to come from, to be caused by, to derive from<br>5. to come to (i.e. ""when it comes to spinach ..."")",N5,55,練習が目的で ここに<b>来</b>たの,練習が目的で ここに来たの,"Episode01, Episode03, Episode04, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
先輩,せんぱい,"1. senior (at work or school), superior, elder, older graduate, progenitor, old-timer",N4,55,私も唯<b>先輩</b>と もっと一緒に練習したいと思ってたんです,I also wanted to practice more with Yui-senpai.,"Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
思う,おもう,"1. to think, to consider, to believe, to reckon<br>2. to think (of doing), to plan (to do)<br>3. to judge, to assess, to regard<br>4. to imagine, to suppose, to dream<br>5. to expect, to look forward to<br>6. to feel, to be (in a state of mind), to desire, to want<br>7. to recall, to remember",N4,54,でも ウチの部に入ろうと<b>思っ</b>たってことは,But the fact that I wanted to join our club means that,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13"
ここ,ここ,"1. here, this place<br>2. this point, here, now<br>3. these past ... (e.g. three years), these last ...<br>4. the next ... (e.g. few days), these next ...",N5,53,せっかくのカモを <b>ここ</b>で手放すわけにはいかないぜ,I can't let go of my precious duck here.,"Episode01, Episode03, Episode04, Episode05, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
あれ,あれ,"1. that, that thing<br>2. that person<br>3. then, that time<br>4. that place (over there)<br>5. down there (i.e. one's genitals)<br>6. period, menses",N5,52,<b>あれ</b>はもう ８年も前のこと,That was already eight years ago.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
くれる,くれる,To give (to me),N4,52,でもね その持ってきて<b>くれ</b>たプリントの中に,But in the print you brought me,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode11, Episode12, Episode13, Episode14"
だって,だって,"1. after all, because<br>2. but<br>3. even<br>4. too, as well, also<br>5. they say, I hear, you mean",N3,51,雪が降って 真っ白になった クリスマスのことなん<b>だって</b>,It's about Christmas when it snowed and it turned white.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode13, Episode14"
よい,よい,Good,N5,50,だったら もっと遊べば<b>よかっ</b>たのに,I should have played more then.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode07, Episode08, Episode09, Episode10, Episode11, Episode13, Episode14"
さん,さん,"1. Mr., Mrs., Miss, Ms., -san<br>2. politeness marker",N5,50,平沢<b>さん</b> 他には どんなものが好き？,"Mr. Hirasawa, what else do you like?","Episode01, Episode02, Episode03, Episode04, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode14"
今,いま,"1. now, the present time, just now, soon, immediately<br>2. another, more",N5,48,<b>今</b>年のクリスマスは 今までで一番盛り上がってるかも,This year's Christmas may be the most exciting ever.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
律,リツ,Ritsu,Unlabeled,48,<b>律</b>も ちゃんとリズムキープできてたなあ,Ritsu was also able to keep the rhythm properly.,"Episode01, Episode02, Episode03, Episode04, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
すごい,すごい,Amazing,N3,48,私にもちゃんと <b>すごく</b>立派な,It's very fine for me too,"Episode01, Episode02, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
今日,きょう,"1. today, this day<br>2. these days, recently, nowadays",N5,47,<b>今日</b>は 私がギターを忘れたせいで こんなに遅れてしまいました,I'm so late today because I forgot my guitar.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
まで,まで,"1. until (a time), till, to, up to<br>2. to (a place), as far as<br>3. to (an extent), up to, so far as, even<br>4. only, merely",Unlabeled,47,今年のクリスマスは 今<b>まで</b>で一番盛り上がってるかも,This year's Christmas may be the most exciting ever.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode14"
みる,みる,To try doing,Unlabeled,47,でも 前髪を下ろした君の姿も見て<b>み</b>たい,But I also want to see you with your bangs down.,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
梓,アズサ,Azusa,Unlabeled,47,<b>梓</b>も ちゃんと練習はしておくように,Azusa should also practice properly.,"Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
ライブ,ライブ,"1. live (esp. concert, show, etc.), live performance<br>2. alive",Unlabeled,46,もうすぐ学祭で <b>ライブ</b>ができると思うと,I think we'll be able to perform live at the school festival soon.,"Episode01, Episode02, Episode04, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
いや,ほんけ,"1. head house (family), birthplace, originator",Unlabeled,46,<b>いや</b> とにかく新入部員が入ってよかった,"Anyway, I'm glad we have a new member.","Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
ありがとう,ありがとう,"1. thank you, thanks",N3,45,本当に<b>ありがとう</b>,thanks so much,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode10, Episode11, Episode12, Episode13, Episode14"
なあ,なあ,"1. hey, say, look",Unlabeled,44,でも 軽音部って どんな人が いるのか<b>なあ</b>,But I wonder what kind of people are in the light music club?,"Episode01, Episode03, Episode04, Episode06, Episode07, Episode09, Episode10, Episode14"
ごめん,ごめん,"1. I'm sorry, my apologies, excuse me, pardon me<br>2. may I come in?<br>3. permission, leave, license<br>4. dismissal, discharge<br>5. not wanting, objecting to, being fed up with, wishing to avoid",Unlabeled,43,<b>ごめん</b>なさ～い！,I'm sorry!,"Episode01, Episode02, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
頑張る,がんばる,"1. to persevere, to persist, to keep at it, to hang on, to hold out, to do one's best<br>2. to insist that, to stick to (one's opinion)<br>3. to remain in a place, to stick to one's post, to refuse to budge",Unlabeled,43,学園祭に向けて <b>頑張る</b>ぞ～！,I'll do my best for the school festival!,"Episode01, Episode02, Episode03, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
のに,のに,"1. although, despite, even though, and yet<br>2. whereas, while<br>3. if only, I wish<br>4. in order to",Unlabeled,43,それは軽音部のためでもある<b>のに</b>,It's also for the light music section.,"Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
ねえ,ね,"1. right?, don't you think<br>2. hey, come on, listen",Unlabeled,41,でも何か これはこれで楽しいよ<b>ねえ</b>,But somehow this is fun.,"Episode01, Episode02, Episode03, Episode04, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
そんな,そんな,"1. such, that sort of, that kind of, like that<br>2. no way!, never!",N4,40,もう <b>そんな</b>ことありません！,That's not the case anymore!,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
楽しい,たのしい,"1. enjoyable, fun, pleasant, happy, delightful",N5,40,とっても<b>楽しく</b>て 愉快な人達の仲間になりたかったの,I wanted to be a friend of very fun and cheerful people.,"Episode01, Episode02, Episode04, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
入る,いる,"1. to get in, to go in, to come in, to flow into, to set, to set in",N5,38,でも ウチの部に<b>入ろ</b>うと思ったってことは,But the fact that I wanted to join our club means that,"Episode01, Episode02, Episode03, Episode04, Episode05, Episode06, Episode07, Episode08, Episode09, Episode10, Episode11, Episode12, Episode13, Episode14"
せる,せる,1. to compete<br>2. to bid<br>3. to sell at auction,Unlabeled,38,お母さんに無理言って ５万円 前借りさ<b>せ</b>てもらった,"I forced my mom to ask me to borrow 50,000 yen in advance.","Episode01, Episode02, Episode05, Episode06, Episode07, Episode09, Episode10, Episode11, Episode12, Episode13"
