Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes
なる,なる,To become,N5,445,<b>なっ</b>!? これにも追いつくだと！,Huh!? I'm trying to catch up with this too!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
この,きゅう,1. nine,N5,426,今日は <b>この</b>へんで！,That's it for today!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
やる,やる,To do,N5,404,僕が超能力で けがを治して<b>やる</b>と,[Unavailable],"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
斉木,斉木,1. Kazuto Saiki,Unlabeled,396,<b>斉木</b>と自然に班が組めるのよ！,You can naturally form a team with Saiki!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
これ,これ,"1. this, this one<br>2. this person<br>3. now, this point (in time)<br>4. here<br>5. used to stress the subject of a sentence<br>6. I, me",N5,372,<b>これ</b>には深い訳があってな！,There's a deep reason for this!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
いい,いい,Good,N5,369,家電芸人はどうでも<b>いい</b>！,I don’t care about home appliance comedians!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
ます,ます,Polite verb suffix,Unlabeled,355,お金を使わなくてもでき<b>ます</b>！,You can do it without spending money!,"S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
さん,さん,"1. Mr., Mrs., Miss, Ms., -san<br>2. politeness marker",N5,334,というわけで あとは夢原<b>さん</b>が,So the rest is Yumehara-san.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
です,です,Be (Polite Copula),Unlabeled,316,こんなことは初めて<b>です</b>！,This is the first time something like this has happened!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
人,じん,"1. -ian (e.g. Italian), -ite (e.g. Tokyoite)<br>2. -er (e.g. performer, etc.), person working with ...<br>3. man, person, people",N5,316,本当は ２<b>人</b>とも大好き！,I actually love both of them!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
そう,そう,"1. appearing that, seeming that, looking like, having the appearance of",N4,315,朝までには終われ<b>そう</b>だ！,Looks like it will be finished by morning!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
って,って,"1. you said, he said, she said, they said<br>2. if ... then<br>3. do you seriously think that<br>4. I already told you, you should know by now that, of course<br>5. the said ..., said ...<br>6. says that ...<br>7. I hear that ...<br>8. as for the term ...<br>9. as for ...",Unlabeled,315,テレパシーに反応がない<b>って</b>ことは,That means there is no response to telepathy.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
れる,れる,Passive/Potential form,Unlabeled,301,仕事をバック<b>れ</b>ても 行くぜ！,"Even if I have to back work, I'll go!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
お前,おまえ,"1. you<br>2. presence (of a god, nobleman, etc.)",Unlabeled,287,<b>お前</b>も 顔のほとぼりが冷めるまで,Until the water on your face cools down too,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
言う,いう,"1. to say, to utter, to declare<br>2. to name, to call<br>3. to go (e.g. ""the alarm went ping""), to make a noise",N5,286,だが <b>言う</b>ことはもっともだ,But it makes sense,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
くる,くる,To come,Unlabeled,276,それは僕にもダメージが<b>くる</b>,It will hurt me too,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
それ,それ,"1. that, it<br>2. then, that point (in time), that time<br>3. there<br>4. you",N5,263,我々は <b>それ</b>がとても憎い！,We hate it so much!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
君,きみ,"1. you, buddy, pal<br>2. monarch, ruler, sovereign, (one's) master",N4,258,ここまでは<b>君</b>が運ぶんだ！,You'll carry it this far!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
どう,どう,"1. how, in what way, how about",N5,252,家電芸人は<b>どう</b>でもいい！,I don’t care about home appliance comedians!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
来る,くる,"1. to come (spatially or temporally), to approach, to arrive<br>2. to come back, to do ... and come back<br>3. to come to be, to become, to get, to grow, to continue<br>4. to come from, to be caused by, to derive from<br>5. to come to (i.e. ""when it comes to spinach ..."")",N5,252,２人とも指導室まで<b>来い</b>！,"Both of you, come to the instruction room!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
見る,みる,"1. to see, to look, to watch, to view, to observe<br>2. to examine, to look over, to assess, to check, to judge<br>3. to look after, to attend to, to take care of, to keep an eye on<br>4. to experience, to meet with (misfortune, success, etc.)<br>5. to try ..., to have a go at ..., to give ... a try<br>6. to see (that) ..., to find (that) ...",N5,243,別れた女房が<b>見</b>に来るんです！,My ex-wife is coming to see me!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
私,わたし,"1. I, me",N5,242,<b>私</b>はあなたが超能力者であることを,I know you're a psychic,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
ー,ー,1. long vowel mark (usually only used in katakana),Unlabeled,241,えぇ<b>ー</b>！ オレが死んでも,Eh! Even if I die,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E14, S01E15, S01E16, S01E18, S01E19, S01E20, S01E21, S01E23, S01E24"
もう,もう,"1. now, soon, shortly, before long, presently<br>2. already, yet, by now, (not) anymore<br>3. further, more, again, another, the other<br>4. tsk, dammit, jeez, come on, what the hell",N5,210,ボールが<b>もう</b>１人のほうに！,The ball is in the other person's direction!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
行く,いく,"1. to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach<br>2. to proceed, to take place<br>3. to pass through, to come and go<br>4. to walk<br>5. to die, to pass away<br>6. to do (in a specific way)<br>7. to stream, to flow<br>8. to continue<br>9. to have an orgasm, to come, to cum<br>10. to trip, to get high, to have a drug-induced hallucination",N5,208,問題は 玄関に<b>行く</b>まで！,The problem is until you get to the front door!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
くれる,くれる,To give (to me),N4,206,孫が来て<b>くれる</b>と思ったのに！,I thought my grandson would come!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
いや,ほんけ,"1. head house (family), birthplace, originator",Unlabeled,206,<b>いや</b> とりあえず 話を聞け！,"No, just listen to me!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
今,いま,"1. now, the present time, just now, soon, immediately<br>2. another, more",N5,203,<b>今</b>は これのことで頭がいっぱいだ,My head is full of this right now.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
でも,でも,"1. but, however, though, nevertheless, still, yet, even so, also, as well<br>2. even<br>3. however, no matter how, even if, even though<br>4. ... or something<br>5. either ... or ..., neither ... nor ...<br>6. pseudo-, quack, in-name-only<br>7. for lack of anything better to do",N5,199,１円<b>でも</b>下げる気はない！,I have no intention of lowering it even by 1 yen!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
けど,けど,But / Although,Unlabeled,199,荷物はない<b>けど</b>灰呂に続け！,"I don't have any luggage, but I continue with Hairo!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
俺,おれ,"1. I, me",N1,199,ここは<b>俺</b>が何とかする！,I'll do something about this!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
その,その,"1. that, the<br>2. part (as in ""part two"")<br>3. um ..., er ..., uh ...",N5,195,父にも <b>その</b>ことを伝えてないから,I haven't told my father about it either.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
思う,おもう,"1. to think, to consider, to believe, to reckon<br>2. to think (of doing), to plan (to do)<br>3. to judge, to assess, to regard<br>4. to imagine, to suppose, to dream<br>5. to expect, to look forward to<br>6. to feel, to be (in a state of mind), to desire, to want<br>7. to recall, to remember",N4,183,孫が来てくれると<b>思っ</b>たのに！,I thought my grandson would come!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
まで,まで,"1. until (a time), till, to, up to<br>2. to (a place), as far as<br>3. to (an extent), up to, so far as, even<br>4. only, merely",Unlabeled,175,２人とも指導室<b>まで</b>来い！,"Both of you, come to the instruction room!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
ああ,ああ,"1. ah!, oh!, alas!<br>2. yes, indeed, that is correct<br>3. aah, gah, argh<br>4. hey!, yo!<br>5. uh huh, yeah yeah, right, gotcha",N4,173,<b>ああ</b> でも 自分の心の中を,"Ah, but inside my heart","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
よう,よう,Way / Like / As if,Unlabeled,172,話を変えることができた<b>よう</b>だ,I think I was able to change the subject.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
分かる,わかる,"1. to understand, to comprehend, to grasp, to see, to get, to follow<br>2. to become clear, to be known, to be discovered, to be realized, to be realised, to be found out<br>3. I know!, I think so too!",N5,171,僕には相手の考えが<b>分かる</b>のだ,I understand what the other person is thinking,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
なんて,なんて,"1. how ...!, what ...!<br>2. what?, what's that?",Unlabeled,167,か弱い幼女に手を出す<b>なんて</b>！,How dare you lay your hands on a fragile little girl!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
だけ,だけ,Only,Unlabeled,166,トンとやった<b>だけ</b>で気絶！,I passed out just by doing it!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
たい,たい,Want to...,Unlabeled,162,もっと話し<b>たい</b>のに！ もおお～！,I want to talk more! Moooo!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
オレ,オーレ,1. olé,Unlabeled,160,<b>オレ</b>も楽器は何もできません！,I can't play any musical instruments either!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E20, S01E21, S01E22, S01E23"
あっ,あっ,"1. ah, oh<br>2. hey!",N3,159,<b>あっ</b>！ 話はあとだ 楠雄！,"Ah! Let's talk later, Kusuo!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
まあ,まあ,"1. just (e.g. ""just wait here""), come now, now, now<br>2. tolerably, passably, moderately, reasonably, fairly, rather, somewhat<br>3. well..., I think..., it would seem..., you might say..., Hmmm, I guess so...<br>4. oh!, oh dear!, oh, my!, wow!, goodness gracious!, good heavens!",N3,153,<b>まあ</b> それも昨日で終わりだ！,"Well, that all ended yesterday!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
橋,はし,1. bridge,N5,152,照<b>橋</b>さんと一緒にいたい！,I want to be with Teruhashi-san!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E20, S01E22, S01E23, S01E24"
できる,できる,"1. to be out of, to have no more at hand",N5,151,他人を自由に操ることは<b>でき</b>ない,cannot control others freely,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E21, S01E22, S01E23, S01E24"
照,しょうめい,"1. illumination, lighting<br>2. Lighting",Unlabeled,151,<b>照</b>橋さんと一緒にいたい！,I want to be with Teruhashi-san!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E20, S01E22, S01E23, S01E24"
楠,くすのき,"1. camphor tree (Cinnamomum camphora), camphorwood, camphor laurel",Unlabeled,148,あっ！ 話はあとだ <b>楠</b>雄！,"Ah! Let's talk later, Kusuo!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
雄,おす,"1. male (animal, plant)",N1,147,あっ！ 話はあとだ 楠<b>雄</b>！,"Ah! Let's talk later, Kusuo!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
知る,しる,"1. to be aware of, to know, to be conscious of, to cognize, to cognise<br>2. to notice, to feel<br>3. to understand, to comprehend, to grasp<br>4. to remember, to be acquainted with (a procedure)<br>5. to experience, to go through, to learn<br>6. to be acquainted with (a person), to get to know<br>7. to concern",N5,147,<b>知っ</b>たことではないが,Not that I know of,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
ここ,ここ,"1. here, this place<br>2. this point, here, now<br>3. these past ... (e.g. three years), these last ...<br>4. the next ... (e.g. few days), these next ...",N5,147,<b>ここ</b>は俺が何とかする！,I'll do something about this!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
いう,ゆう,"1. to do up (hair), to dress, to arrange<br>2. to tie, to bind, to fasten, to make (a fence)",Unlabeled,145,しかし そんなことはどうでも<b>いい</b>,But it doesn't matter,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
あの,あの,"1. that, those, the",N5,145,とはいえ <b>あの</b>家にＧがいる限り,"However, as long as G is in that house","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
こんな,こんな,"1. this sort of, this kind of, like this, such",N5,140,<b>こんな</b>ことは初めてです！,This is the first time something like this has happened!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
スる,する,"1. to pickpocket, to steal",Unlabeled,139,幽霊を視ることができるっ<b>ス</b>,I can see ghosts,"S01E04, S01E05, S01E06, S01E08, S01E10, S01E11, S01E13, S01E14, S01E15, S01E16, S01E19, S01E20, S01E22"
能力,のうりょく,"1. ability, faculty",N3,134,私はあなたが超<b>能力</b>者であることを,I know you're a psychic,"S01E01, S01E02, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23"
じゃあ,じゃあ,"1. then, well, so, well then<br>2. be, is",N5,132,はい！ <b>じゃあ</b> 宴もたけなわですが,"yes! Well then, we'll have a party.","S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
