Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes
じゃ,じゃあ,"1. then, well, so, well then<br>2. be, is",N5,445,ちょと調子に乗ってん<b>じゃ</b>ないの！,You must be getting carried away!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
ある,ある,To be (inanimate),N5,435,それは明らかな誤謬で<b>ある</b>と！,That is a clear fallacy!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
なる,なる,To become,N5,414,水を差すことに<b>なり</b>ますので,"You will have to add water, so","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
とか,とか,"1. and the like, such as, among other things, and so on<br>2. or something, something like, a (certain)<br>3. I hear that ..., people say that..., rumour has it that ...<br>4. or something, something like, or whatever",Unlabeled,398,臭いものにはふたを<b>とか</b>,Put a lid on anything that stinks.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
何,なに,"1. what<br>2. you-know-what, that thing<br>3. whatsit, whachamacallit, what's-his-name, what's-her-name<br>4. (not) at all, (not) in the slightest<br>5. what?, huh?<br>6. hey!<br>7. oh, no (it's fine), why (it's nothing), oh (certainly not)",N5,378,<b>何</b>と言ってもコミケでしょう！,"After all, it's Comiket!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
こと,こと,Thing (intangible) / Nominalizer,N4,370,ああ でも みゆきは他の<b>こと</b>が,"Ah, but Miyuki has other things going on.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
あっ,あっ,"1. ah, oh<br>2. hey!",N3,358,もっと成績も上がるのにね <b>あっ</b>,"I wish I could get better grades, ah","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
いる,いる,To be (animate) / -ing marker,Unlabeled,352,声をかける者が<b>いる</b>とは嘆かわしい,It's sad that there are people who call out to me.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
いい,いい,Good,N5,339,それはメカものと呼んで<b>いい</b>のか？,Can I call it a mecha thing?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
やる,やる,To do,N5,315,ちょっとでも<b>やろ</b>う！,Let's do it even if it's just for a moment!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
くる,くる,To come,Unlabeled,303,<b>こ</b>こにグッとこないのよ！,ここにグッとこないのよ！,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
人,じん,"1. -ian (e.g. Italian), -ite (e.g. Tokyoite)<br>2. -er (e.g. performer, etc.), person working with ...<br>3. man, person, people",N5,283,でも今年は ちゃんと<b>人</b>に,"But this year, I'm going to meet people properly.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
でも,でも,"1. but, however, though, nevertheless, still, yet, even so, also, as well<br>2. even<br>3. however, no matter how, even if, even though<br>4. ... or something<br>5. either ... or ..., neither ... nor ...<br>6. pseudo-, quack, in-name-only<br>7. for lack of anything better to do",N5,280,ああ <b>でも</b> みゆきは他のことが,"Ah, but Miyuki has other things going on.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
ちゃん,ちゃん,1. suffix for familiar person,N4,278,いや でも こな<b>ちゃん</b>は,"No, but Kona-chan","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
言う,いう,"1. to say, to utter, to declare<br>2. to name, to call<br>3. to go (e.g. ""the alarm went ping""), to make a noise",N5,278,何と<b>言っ</b>てもコミケでしょう！,"After all, it's Comiket!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
さん,さん,"1. Mr., Mrs., Miss, Ms., -san<br>2. politeness marker",N5,272,すぐにでも泉<b>さん</b>たちと,With Izumi-san and others right away,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
ああ,ああ,"1. ah!, oh!, alas!<br>2. yes, indeed, that is correct<br>3. aah, gah, argh<br>4. hey!, yo!<br>5. uh huh, yeah yeah, right, gotcha",N4,251,<b>ああ</b> でも みゆきは他のことが,"Ah, but Miyuki has other things going on.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
思う,おもう,"1. to think, to consider, to believe, to reckon<br>2. to think (of doing), to plan (to do)<br>3. to judge, to assess, to regard<br>4. to imagine, to suppose, to dream<br>5. to expect, to look forward to<br>6. to feel, to be (in a state of mind), to desire, to want<br>7. to recall, to remember",N4,221,でも 田舎には帰ると<b>思い</b>ます,But I think I'll go back to the countryside.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
この,きゅう,1. nine,N5,221,というわけで ぜひ<b>この</b>キョンを！,So please try this Kyon!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
それ,それ,"1. that, it<br>2. then, that point (in time), that time<br>3. there<br>4. you",N5,216,<b>それ</b>は明らかな誤謬であると！,That is a clear fallacy!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
分かる,わかる,"1. to understand, to comprehend, to grasp, to see, to get, to follow<br>2. to become clear, to be known, to be discovered, to be realized, to be realised, to be found out<br>3. I know!, I think so too!",N5,214,まあ 気持ちは<b>分から</b>んでもないが,"Well, I don't know how you feel.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
”,”,1. ” (Auto-translated),Unlabeled,211,どこまでも“うにょ～ん<b>”</b>と,“Unyo~n” all the way,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
“,ふるさとのうぜい,"1. hometown tax, system in which taxpayers can choose to divert part of their residential tax to a specified local government",Unlabeled,210,どこまでも<b>“</b>うにょ～ん”と,“Unyo~n” all the way,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
ちゃう,ちゃう,"1. to do completely<br>2. to do accidentally, to do without meaning to, to happen to do",Unlabeled,208,でも気にせず食べ<b>ちゃう</b>,But I'll eat it without worrying,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
これ,これ,"1. this, this one<br>2. this person<br>3. now, this point (in time)<br>4. here<br>5. used to stress the subject of a sentence<br>6. I, me",N5,207,あと <b>これ</b> つまらないものですが,"Also, this is boring","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
ねえ,ね,"1. right?, don't you think<br>2. hey, come on, listen",Unlabeled,202,だいぶ日本にも慣れてきた<b>ねえ</b>！,You've gotten used to Japan quite a bit!,"S01E01, S01E02, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
あんた,あんた,1. you,Unlabeled,195,<b>あんた</b>と一緒にすんな！,I don't want to go with you!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
れる,れる,Passive/Potential form,Unlabeled,194,え？ でも歯を削ら<b>れる</b>のは,picture? But having your teeth removed,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
うん,うん,"1. yes, yeah, uh huh<br>2. hum, hmmm, well, erm, huh?<br>3. oof",N4,193,はっ <b>うん</b>！ そうかも！,"Yes, yes! Maybe so!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
もう,もう,"1. now, soon, shortly, before long, presently<br>2. already, yet, by now, (not) anymore<br>3. further, more, again, another, the other<br>4. tsk, dammit, jeez, come on, what the hell",N5,186,<b>もう</b>そんなことないですから！,That doesn't happen anymore!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
いう,ゆう,"1. to do up (hair), to dress, to arrange<br>2. to tie, to bind, to fasten, to make (a fence)",Unlabeled,178,もう１枚<b>いっ</b>とくか！,Let's get one more!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
かがむ,かがむ,"1. to stoop, to lean over, to bend forward<br>2. to bend down, to crouch, to squat",Unlabeled,175,ってことは <b>かがみ</b>とつかさも,That means Kagami and Tsukasa too.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
いや,ほんけ,"1. head house (family), birthplace, originator",Unlabeled,170,<b>いや</b> 宗介がオススメです！,"No, I recommend Sousuke!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
見る,みる,"1. to see, to look, to watch, to view, to observe<br>2. to examine, to look over, to assess, to check, to judge<br>3. to look after, to attend to, to take care of, to keep an eye on<br>4. to experience, to meet with (misfortune, success, etc.)<br>5. to try ..., to have a go at ..., to give ... a try<br>6. to see (that) ..., to find (that) ...",N5,168,その時 特派員が<b>見</b>たものは！,What the correspondent saw then!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
なあ,なあ,"1. hey, say, look",Unlabeled,167,かがみはＢ型に見える<b>なあ</b>,Kagami looks like type B.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
はい,はい,"1. yes, that is correct<br>2. understood, I see, OK, okay<br>3. present, here<br>4. pardon?, what's that?, come again?<br>5. now, here, here you go<br>6. giddy-up, giddap",N5,167,<b>はい</b> 次から もっと気をつけなよ,"Yes, be more careful next time","S01E01, S01E02, S01E03, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
行く,いく,"1. to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach<br>2. to proceed, to take place<br>3. to pass through, to come and go<br>4. to walk<br>5. to die, to pass away<br>6. to do (in a specific way)<br>7. to stream, to flow<br>8. to continue<br>9. to have an orgasm, to come, to cum<br>10. to trip, to get high, to have a drug-induced hallucination",N5,162,実は虫歯の治療に<b>行っ</b>たのですが,"Actually, I went there for treatment for cavities.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
えっ,えっ,"1. huh?, what's up?",Unlabeled,162,<b>えっ</b>と 今日はファンにとっては,"Well, today is for the fans.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
どう,どう,"1. how, in what way, how about",N5,155,時間にルーズで<b>どう</b>すんの！,What do you do when you're loose on time?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
だけ,だけ,Only,Unlabeled,152,でも かがみ<b>だけ</b>は,But only Kagami,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
まあ,まあ,"1. just (e.g. ""just wait here""), come now, now, now<br>2. tolerably, passably, moderately, reasonably, fairly, rather, somewhat<br>3. well..., I think..., it would seem..., you might say..., Hmmm, I guess so...<br>4. oh!, oh dear!, oh, my!, wow!, goodness gracious!, good heavens!",N3,151,<b>まあ</b> 気持ちは分からんでもないが,"Well, I don't know how you feel.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
あの,あの,"1. that, those, the",N5,151,<b>あの</b>２人は さすがだねえ！,Those two are amazing!,"S01E01, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
ちょっと,ちょっと,"1. a little, a bit, slightly<br>2. just a minute, for a moment, briefly<br>3. somewhat, rather, fairly, pretty, quite<br>4. (not) easily, (not) readily<br>5. hey!, come on, excuse me",N5,148,<b>ちょっと</b>でもやろう！,Let's do it even if it's just for a moment!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
１,ワン,1. one,Unlabeled,144,でも <b>１</b>年のとこに行っても,But even if I go to the first year,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
みゆき,みゆき,Miyuki,Unlabeled,140,ああ でも <b>みゆき</b>は他のことが,"Ah, but Miyuki has other things going on.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E22, S01E23, S01E24"
時,とき,"1. time, hour, moment<br>2. occasion, case<br>3. chance, opportunity, season<br>4. the times, the age, the day<br>5. tense",N3,135,その<b>時</b> 特派員が見たものは！,What the correspondent saw then!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
つかさ,つかさ,Tsukasa,Unlabeled,132,ってことは かがみと<b>つかさ</b>も,That means Kagami and Tsukasa too.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E21, S01E23, S01E24"
今日,きょう,"1. today, this day<br>2. these days, recently, nowadays",N5,130,<b>今日</b>という今日は言わせてもらう！,"Today, let me tell you!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
たり,たり,"1. -ing and -ing (e.g. ""coming and going"")<br>2. doing such things as...<br>3. expresses a command<br>4. to be<br>5. indicates completion or continuation of an action",Unlabeled,124,増え<b>たり</b>減ったりで当てにならん！,You can't rely on it increasing or decreasing!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
よう,よう,Way / Like / As if,Unlabeled,124,<b>よう</b>！ ２人とも帰ろう！,Yo! Let's both go home!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
まで,まで,"1. until (a time), till, to, up to<br>2. to (a place), as far as<br>3. to (an extent), up to, so far as, even<br>4. only, merely",Unlabeled,124,さすがに そこ<b>まで</b>はしないよ,Of course I won't go that far.,"S01E01, S01E02, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
なんか,なんか,"1. something like ..., things like ..., someone like ..., the likes of ...",N1,123,たまには新聞<b>なんか</b>も読んで―,Sometimes I read newspapers...,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
来る,くる,"1. to come (spatially or temporally), to approach, to arrive<br>2. to come back, to do ... and come back<br>3. to come to be, to become, to get, to grow, to continue<br>4. to come from, to be caused by, to derive from<br>5. to come to (i.e. ""when it comes to spinach ..."")",N5,123,次に<b>来る</b>のはツインドリルよ！,Next up is Twin Drill!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
たい,たい,Want to...,Unlabeled,122,それでも私に会い<b>たい</b>,still want to see me,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
そんな,そんな,"1. such, that sort of, that kind of, like that<br>2. no way!, never!",N4,114,もう<b>そんな</b>ことないですから！,That doesn't happen anymore!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24"
