Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image,WordAudio,SentenceAudio
私,わたし,I / Me,N5,155,でも この子たちには <b>私</b>が必要だし,But these kids need me.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_dbc879e1.mp3],[sound:Beastars_sent_05d7cfca.mp3]
ます,ます,Polite verb ending,Unlabeled,152,あいつと違って 俺には 大型肉食獣の素質があり<b>ます</b>,"Unlike him, I have the makings of a large carnivore.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_b3a9c081.mp3],[sound:Beastars_sent_e26b29f8.mp3]
レゴシ,レゴシ,Legoshi,Unlabeled,136,なんで あの日のことについて <b>レゴシ</b>君は一切 触れないの？,Why doesn't Legosi ever mention anything about that day?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_aeed09e4.mp3],[sound:Beastars_sent_5235d151.mp3]
君,きみ,"1. you, buddy, pal<br>2. monarch, ruler, sovereign, (one's) master",N4,134,<b>君</b>の動きは観客を引きつけるが 周りとの調和も大切だ,"Your movements attract the audience, but it's also important to blend in with your surroundings.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_b531a9e6.mp3],[sound:Beastars_sent_7870f41c.mp3]
ある,ある,"1. to be, to exist, to live<br>2. to have<br>3. to be located<br>4. to be equipped with<br>5. to happen, to come about",N5,132,君には大人の世界を 知っておいてもらう必要が<b>ある</b>,I need you to know about the adult world.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_82b6cc40.mp3],[sound:Beastars_sent_9aa21a82.mp3]
れる,レ,Passive / Potential Form,Unlabeled,122,絶対に知ら<b>れ</b>てはならないという 覚悟を君も持ってくれ,Please be determined that you must never be known.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_ff951919.mp3],[sound:Beastars_sent_e825ebbb.mp3]
なる,なる,"1. to become, to get, to grow, to be, to reach, to attain<br>2. to result in, to prove to be<br>3. to consist of, to be composed of<br>4. to succeed, to be complete<br>5. to change into, to be exchanged for<br>6. to play a role<br>7. to be promoted<br>8. to do ...",N5,121,でも 大人に<b>なれ</b>ば 利用することになるんだよ 肉食は,"But when you grow up, you start using meat.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_3288e92f.mp3],[sound:Beastars_sent_9ddb4ad8.mp3]
そう,そう,So / That way / Seeming,N4,115,とても 明日の公演を 続けられる状態ではない<b>そう</b>です,It seems that he is in no condition to continue with tomorrow's performance.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_c26edd7e.mp3],[sound:Beastars_sent_7ccd98a7.mp3]
お前,おまえ,"1. you<br>2. presence (of a god, nobleman, etc.)",Unlabeled,111,肉食の<b>お前</b>たちが 俺を本気で襲いに来ること,You meat eaters are seriously coming to attack me.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_01c6323a.mp3],[sound:Beastars_sent_e1785a95.mp3]
この,この,This (Demonstrative),N5,109,でも <b>この</b>子たちには 私が必要だし,But these kids need me.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_fad04fc9.mp3],[sound:Beastars_sent_05d7cfca.mp3]
あの,アノ,That (Distant),N5,103,<b>あの</b>人は 今でも 亡くなった後輩に 花を,That person still sends flowers to his deceased juniors.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_abadd06e.mp3],[sound:Beastars_sent_90344edf.mp3]
いい,よい,"1. good, excellent, fine, nice, pleasant, agreeable<br>2. sufficient, enough, ready, prepared<br>3. profitable (deal, business offer, etc.), beneficial<br>4. OK, all right, fine, no problem",N5,94,さあ お前も 朝露と共に消えるが<b>いい</b>,"Now, you too, disappear with the morning dew.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_c8e79cdc.mp3],[sound:Beastars_sent_86d7d3cc.mp3]
言う,いう,"1. to say, to utter, to declare<br>2. to name, to call<br>3. to go (e.g. ""the alarm went ping""), to make a noise",N5,93,でも オオカミに そんなこと<b>言わ</b>れたら 驚くよな,But I'd be surprised if a wolf told me that.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_969e48c7.mp3],[sound:Beastars_sent_31017782.mp3]
どう,どう,"1. how, in what way, how about",N5,92,まあ 別に <b>どう</b>でもいいんだけどさ,"Well, I don't really care.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_d1a5f020.mp3],[sound:Beastars_sent_c08ed633.mp3]
ルイ,ルイ,Louis,Unlabeled,87,それにしても現場に<b>ルイ</b>がいると 全然 サボれねえな,"Even so, when Louis is on set, I can't slack off at all.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E12",,[sound:Beastars_word_e71bb567.mp3],[sound:Beastars_sent_49a1c9dc.mp3]
あなた,きほう,"1. your home, your residence<br>2. you (referring to one's equal; epistolary style)",N5,87,<b>あなた</b>が強いことには 大きな意味がある,It means a lot to you to be strong.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_e640f55e.mp3],[sound:Beastars_sent_30a5beef.mp3]
けど,ケド,But / Although,Unlabeled,84,爪は いつも切ってるんです<b>けど</b> 翌日には もうとがってて,"I always cut my nails, but the next day they were already sharp.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_16684127.mp3],[sound:Beastars_sent_2e4b8e33.mp3]
ハル,ハル,Haru,Unlabeled,82,でも こいつと<b>ハル</b>が 寝てるとは思えないし,But I don't think this guy and Haru are sleeping.,"S01E01, S01E05, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_9ad292df.mp3],[sound:Beastars_sent_1b4da6d1.mp3]
先輩,せんぱい,"1. senior (at work or school), superior, elder, older graduate, progenitor, old-timer",N4,81,肉食獣が敵に回ってるなら 俺はルイ<b>先輩</b>を守る,"If a carnivore becomes an enemy, I will protect Louis-senpai.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E12",,[sound:Beastars_word_2aef0d4e.mp3],[sound:Beastars_sent_cd99350d.mp3]
ねえ,ねえ,Hey! / Look! / (seeking agreement) / No / Not (Slang negative),Unlabeled,79,１日目と がらりと変わったのは 事故ではなかったんですよ<b>ねえ</b>？,"It wasn't an accident that changed drastically from the first day, right?","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_f6ed6140.mp3],[sound:Beastars_sent_c1d4f288.mp3]
たい,たい,Want to... (Verb suffix),Unlabeled,77,肉食獣が自分よりも非力な草食獣を 常に助け<b>たい</b>と思うのは―,The reason why carnivores always want to help herbivores that are weaker than them is...,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_819bac9f.mp3],[sound:Beastars_sent_23f3315a.mp3]
肉食,にくしょく,"1. meat eating, eating of meat, meat diet<br>2. carnivorous",Unlabeled,72,<b>肉食</b>獣が自分よりも非力な草食獣を 常に助けたいと思うのは―,The reason why carnivores always want to help herbivores that are weaker than them is...,"S01E01, S01E02, S01E03, S01E04, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_53e826c9.mp3],[sound:Beastars_sent_23f3315a.mp3]
それ,ソレ,That one,N5,71,こんなところで <b>それ</b>を発揮されても困るな,It's a problem for me to show that ability in a place like this.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_b3de9c30.mp3],[sound:Beastars_sent_23128774.mp3]
分かる,わかる,"1. to understand, to comprehend, to grasp, to see, to get, to follow<br>2. to become clear, to be known, to be discovered, to be realized, to be realised, to be found out<br>3. I know!, I think so too!",N5,71,今のが呪文でないことは お前が一番 <b>分かっ</b>ているはずだ,You should be the first to know that this isn't a spell.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_999e8c0f.mp3],[sound:Beastars_sent_c6f9ef04.mp3]
やる,やる,"1. to do, to undertake, to perform, to play (a game), to study<br>2. to send, to dispatch, to despatch<br>3. to put, to move, to turn (one's head, glance, etc.)<br>4. to give (esp. to someone of equal or lower status), to let have, to present, to bestow, to confer<br>5. to make (a vehicle) go faster<br>6. to run (a business), to keep, to be engaged in, to practice (law, medicine, etc.), to practise<br>7. to have (food, drink, etc.), to eat, to drink, to smoke<br>8. to hold (a performance), to perform, to show<br>9. to ease (one's mind)<br>10. to harm, to injure, to kill<br>11. to have sex with<br>12. to live, to get by, to get along<br>13. to do ... completely<br>14. to do ... broadly, to do ... to a great distance<br>15. to do ... for (someone of equal or lower status), to do ... to (sometimes with negative nuance)<br>16. to make active efforts to ...",N5,70,でも 部員が死んだのに 芝居なんか<b>やっ</b>てる場合なのかな,But I wonder if they're still putting on a play even though a club member has died.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_84e399fe.mp3],[sound:Beastars_sent_1fa3efed.mp3]
これ,コレ,This one,N5,69,僕は <b>これ</b>からも お前を疑ったり 気持ち悪がったりとか,I'll continue to doubt you and feel bad about you.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_f0b5ecd0.mp3],[sound:Beastars_sent_0bd9a29e.mp3]
オオカミ,おおかみ,"1. wolf (Canis lupus)<br>2. wolf in sheep's clothing, womanizer",Unlabeled,68,まあ さすがに<b>オオカミ</b>とウサギで 何か起きるってことはないだろう,"Well, I don't think anything will happen between the wolf and the rabbit.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_84bea1e8.mp3],[sound:Beastars_sent_f60e720d.mp3]
なんて,なんて,"1. how ...!, what ...!<br>2. what?, what's that?",Unlabeled,63,とんでもない ど変態への道を 突き進んでいた<b>なんて</b>,It's unbelievable that I was heading down the path to becoming a pervert.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_a39e3e21.mp3],[sound:Beastars_sent_d8a10553.mp3]
いう,いう,"1. to say, to utter, to declare<br>2. to name, to call<br>3. to go (e.g. ""the alarm went ping""), to make a noise",Unlabeled,63,絶対に知られてはならないと<b>いう</b> 覚悟を君も持ってくれ,Please be determined that you must never be known.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_f01167ab.mp3],[sound:Beastars_sent_e825ebbb.mp3]
ああ,ああ,"1. ah!, oh!, alas!<br>2. yes, indeed, that is correct<br>3. aah, gah, argh<br>4. hey!, yo!<br>5. uh huh, yeah yeah, right, gotcha",N4,62,<b>ああ</b> いつもだけど つくづく自分が嫌んなる,"Ah, I always hate myself so much","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_267239f4.mp3],[sound:Beastars_sent_3aa9d0e7.mp3]
ちゃん,チャン,Suffix for familiar names (Cute/Female),N4,62,やっぱり俺なんかが ハル<b>ちゃん</b>と ルイ先輩の関係を壊しちゃいけない,"After all, I can't ruin the relationship between Haru-chan and Louis-senpai.","S01E01, S01E05, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_b81c0b49.mp3],[sound:Beastars_sent_7b8f38c1.mp3]
もう,もう,"1. now, soon, shortly, before long, presently<br>2. already, yet, by now, (not) anymore<br>3. further, more, again, another, the other<br>4. tsk, dammit, jeez, come on, what the hell",N5,61,爪は いつも切ってるんですけど 翌日には <b>もう</b>とがってて,"I always cut my nails, but the next day they were already sharp.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_32598316.mp3],[sound:Beastars_sent_2e4b8e33.mp3]
くれる,くれる,"1. to give, to let (one) have<br>2. to give<br>3. to do for one, to take the trouble to do<br>4. to do to someone's disadvantage",N4,59,絶対に知られてはならないという 覚悟を君も持って<b>くれ</b>,Please be determined that you must never be known.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_24fa68d8.mp3],[sound:Beastars_sent_e825ebbb.mp3]
自分,じぶん,"1. myself, yourself, oneself, himself, herself<br>2. I, me<br>3. you",N5,58,肉食獣が<b>自分</b>よりも非力な草食獣を 常に助けたいと思うのは―,The reason why carnivores always want to help herbivores that are weaker than them is...,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_a83b8bc2.mp3],[sound:Beastars_sent_23f3315a.mp3]
くる,くる,"1. to come (spatially or temporally), to approach, to arrive<br>2. to come back, to do ... and come back<br>3. to come to be, to become, to get, to grow, to continue<br>4. to come from, to be caused by, to derive from<br>5. to come to (i.e. ""when it comes to spinach ..."")",Unlabeled,57,悔しがったりすることに疲れて 俺は慣れたフリして<b>き</b>たから,"I'm tired of feeling regretful, so I've been pretending to get used to it.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_e7637f6e.mp3],[sound:Beastars_sent_9e2f319a.mp3]
今,いま,Now,N5,57,あの人は <b>今</b>でも 亡くなった後輩に 花を,That person still sends flowers to his deceased juniors.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_7bafa8a1.mp3],[sound:Beastars_sent_90344edf.mp3]
さん,サン,Suffix for names (Mr./Ms.),N5,55,おじ<b>さん</b>が最後に 大切なことを教えてやろう,"Uncle, I'll tell you something important at the end.","S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_93663a35.mp3],[sound:Beastars_sent_eca66c05.mp3]
獣,けもの,"1. beast, brute, animal",N1,54,肉食<b>獣</b>が自分よりも非力な草食獣を 常に助けたいと思うのは―,The reason why carnivores always want to help herbivores that are weaker than them is...,"S01E01, S01E02, S01E03, S01E04, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_6dd2e4b4.mp3],[sound:Beastars_sent_23f3315a.mp3]
あっ,あっ,"1. ah, oh<br>2. hey!",N3,54,<b>あっ</b> 本日は ここまで,"Ah, that's all for today.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_e24f9ead.mp3],[sound:Beastars_sent_7fa53582.mp3]
られる,ラレ,Passive / Potential Form,Unlabeled,53,とても 明日の公演を 続け<b>られる</b>状態ではないそうです,It seems that he is in no condition to continue with tomorrow's performance.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_bc5a713f.mp3],[sound:Beastars_sent_7ccd98a7.mp3]
いや,ひ,"1. no, the noes",Unlabeled,53,<b>いや</b> 俺は ちょっと 園芸部の子に用が,"No, I have something to do with the gardening club.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_de9b2724.mp3],[sound:Beastars_sent_530cd25c.mp3]
たち,たち,1. pluralizing suffix (esp. for people and animals; formerly honorific),Unlabeled,52,肉食のお前<b>たち</b>が 俺を本気で襲いに来ること,You meat eaters are seriously coming to attack me.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_d1a68b3e.mp3],[sound:Beastars_sent_e1785a95.mp3]
その,ソノ,That (Near Listener),N5,52,あー あー あー <b>その</b>顔の筋は ストレスによるものなんですか？,"Ah, ah, ah, are those lines on your face caused by stress?","S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_3673ecbb.mp3],[sound:Beastars_sent_32d4f93f.mp3]
見る,みる,"1. to see, to look, to watch, to view, to observe<br>2. to examine, to look over, to assess, to check, to judge<br>3. to look after, to attend to, to take care of, to keep an eye on<br>4. to experience, to meet with (misfortune, success, etc.)<br>5. to try ..., to have a go at ..., to give ... a try<br>6. to see (that) ..., to find (that) ...",N5,51,女の子の食事を そんなに まじまじと<b>見る</b>もんじゃないわよ,You shouldn't take a girl's food so seriously.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_c1ee2c0c.mp3],[sound:Beastars_sent_65ba49ec.mp3]
思う,おもう,"1. to think, to consider, to believe, to reckon<br>2. to think (of doing), to plan (to do)<br>3. to judge, to assess, to regard<br>4. to imagine, to suppose, to dream<br>5. to expect, to look forward to<br>6. to feel, to be (in a state of mind), to desire, to want<br>7. to recall, to remember",N4,49,肉食獣が自分よりも非力な草食獣を 常に助けたいと<b>思う</b>のは―,The reason why carnivores always want to help herbivores that are weaker than them is...,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_c64ca071.mp3],[sound:Beastars_sent_23f3315a.mp3]
行く,いく,"1. to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach<br>2. to proceed, to take place<br>3. to pass through, to come and go<br>4. to walk<br>5. to die, to pass away<br>6. to do (in a specific way)<br>7. to stream, to flow<br>8. to continue<br>9. to have an orgasm, to come, to cum<br>10. to trip, to get high, to have a drug-induced hallucination",N5,49,今日と明日を乗りきって すぐ病院に<b>行け</b>ばいいことだ,All you have to do is get through today and tomorrow and go to the hospital right away.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_d74a571f.mp3],[sound:Beastars_sent_5e1b45e4.mp3]
みんな,みんな,"1. everyone, everybody, all<br>2. everything, all",N5,48,<b>みんな</b>が楽しみにしてんのは 最終日の点灯式だもん,What everyone is looking forward to is the lighting ceremony on the final day.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_ff4eb8f1.mp3],[sound:Beastars_sent_ac85524b.mp3]
ウサギ,うさぎ,"1. rabbit, hare, coney, cony, lagomorph (esp. leporids)",Unlabeled,47,まあ さすがにオオカミと<b>ウサギ</b>で 何か起きるってことはないだろう,"Well, I don't think anything will happen between the wolf and the rabbit.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_2107912f.mp3],[sound:Beastars_sent_f60e720d.mp3]
子,こ,"1. child<br>2. young (animal)<br>3. young woman, young geisha<br>4. offshoot<br>5. interest<br>6. new shares<br>7. player who is not a dealer (in cards, mahjong, etc.)<br>8. bird egg<br>9. -er (often of young women)",N4,47,でも この<b>子</b>たちには 私が必要だし,But these kids need me.,"S01E01, S01E02, S01E03, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_a6b71dae.mp3],[sound:Beastars_sent_05d7cfca.mp3]
だけ,だけ,"1. only, just, merely, simply, no more than, nothing but, alone<br>2. as much as, to the extent of, enough to",Unlabeled,46,いかにも女受けする顔が 大写しになってる<b>だけ</b>で―,It's just a close-up shot of a face that's very feminine.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_520ce612.mp3],[sound:Beastars_sent_6f06effc.mp3]
こんな,こんな,"1. this sort of, this kind of, like this, such",N5,45,<b>こんな</b>ところで それを発揮されても困るな,It's a problem for me to show that ability in a place like this.,"S01E01, S01E02, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_f3eab5dd.mp3],[sound:Beastars_sent_23128774.mp3]
匹,ひき,1. counter for small animals<br>2. counter for rolls of cloth (two han in size)<br>3. counter for horses<br>4. roll of cloth,N1,42,その中の１<b>匹</b>であるビルが アドラーになり―,"One of them, Bill, becomes Adler...","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E12",,[sound:Beastars_word_cbd97c3d.mp3],[sound:Beastars_sent_57a50fd0.mp3]
聞く,きく,"1. to hear<br>2. to listen (e.g. to music)<br>3. to ask, to enquire, to query<br>4. to hear about, to hear of, to learn of<br>5. to follow (advice, order, etc.), to obey, to listen to, to comply with<br>6. to hear (e.g. a plea), to grant (a request), to accept (e.g. an argument), to give consideration to<br>7. to smell (esp. incense), to sample (a fragrance)<br>8. to taste (alcohol), to try",N5,41,あとは このオオカミ君に<b>聞い</b>て,All you have to do is ask this wolf.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_d9291ccb.mp3],[sound:Beastars_sent_f447b67b.mp3]
まで,まで,"1. until (a time), till, to, up to<br>2. to (a place), as far as<br>3. to (an extent), up to, so far as, even<br>4. only, merely",Unlabeled,41,それ<b>まで</b>は 誰も お前に触れさせぬ,"Until then, I won't let anyone touch you.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E10, S01E11, S01E12",,[sound:Beastars_word_6555e54b.mp3],[sound:Beastars_sent_23861bb8.mp3]
ここ,ココ,Here,N5,41,<b>ここ</b>で騒ぎを起こされては たまったものではない,I can't bear to cause a commotion here.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_ff267cf7.mp3],[sound:Beastars_sent_38de1c25.mp3]
ちょっと,ちょっと,A little / A moment,N5,40,いや 俺は <b>ちょっと</b> 園芸部の子に用が,"No, I have something to do with the gardening club.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",,[sound:Beastars_word_35c96e69.mp3],[sound:Beastars_sent_530cd25c.mp3]
