Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image
って,って,"Quotation particle / ""They say..."" / Topic marker",Unlabeled,174,すでに　やる気　十分<b>って</b>とこだね。,I guess I'm already motivated enough.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51",
何,なに,What,N5,165,<b>何</b>の真似だ！ みすみす　１ターンをムダにするとは！,"What an imitation! Misumisu, I can't believe I wasted one turn!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E24, S01E25, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E49, S01E50, S01E51",
俺,おれ,I / Me (Masculine),N1,165,でも　<b>俺</b>には力が必要なんだ。,But I need strength.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E08, S01E09, S01E10, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E49, S01E50, S01E51",
スタンド,スタンド,"1. stands, bleachers<br>2. stand (e.g. newspaper stand), counter (e.g. lunch counter)<br>3. stand (e.g. inkstand)<br>4. desk lamp, floor lamp, standard lamp<br>5. station (e.g. gas station)",N3,162,春晴　ここはダブル<b>スタンド</b>で 確実にカードをゲットしろ。,Haruharu: Make sure to get the card with a double stand here.,"S01E01, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E10, S01E11, S01E12, S01E13, S01E15, S01E17, S01E18, S01E19, S01E20, S01E21, S01E23, S01E24, S01E27, S01E28, S01E32, S01E34, S01E35, S01E36, S01E37, S01E38, S01E40, S01E41, S01E42, S01E44, S01E45, S01E46, S01E47, S01E48, S01E50",
いる,いる,"1. to be (of animate objects), to exist<br>2. to stay<br>3. to be ...-ing, to have been ...-ing",Unlabeled,160,へえ～　お前も　この爆丸道場に <b>い</b>たことがあるのか。,"Hey, have you ever been to this Bakugan dojo?","S01E01, S01E02, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51",
その,ソノ,That (Near Listener),N5,155,<b>その</b>ためには　まず ６個のメタルパーツを集めないとな。,"To do that, I first need to collect six metal parts.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51",
お前,おまえ,"1. you<br>2. presence (of a god, nobleman, etc.)",Unlabeled,152,大した自信だけど　爆丸を始めて 一度も<b>お前</b>に負けたことはない。,"I have a lot of confidence, but ever since I started playing Bakugan, I've never lost to you.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E43, S01E44, S01E45, S01E48, S01E51",
君,きみ,"1. you, buddy, pal<br>2. monarch, ruler, sovereign, (one's) master",N4,151,<b>君</b>ほど爆丸の神に愛されてる者を 僕は見たことがない。,I've never seen anyone as loved by the god of Bakugan as you are.,"S01E01, S01E02, S01E03, S01E04, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E14, S01E15, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51",
いく,いく,"1. to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach<br>2. to proceed, to take place<br>3. to pass through, to come and go<br>4. to walk<br>5. to die, to pass away<br>6. to do (in a specific way)<br>7. to stream, to flow<br>8. to continue<br>9. to have an orgasm, to come, to cum<br>10. to trip, to get high, to have a drug-induced hallucination",N1,150,では　この看板 シャドウ三獣士がもらって<b>いき</b>やす。,"Well then, it's easy to get this signboard for the three Shadow Beastmen.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51",
ヨーヨー,ヨーヨー,Yoyo,Unlabeled,148,まず　ワインダーのコツは<b>ヨーヨー</b>にちゃんと 回転を与えてあげることです。,"First of all, the trick with a winder is to give the yo-yo proper rotation.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E16, S01E18, S01E19, S01E20, S01E21, S01E22, S01E24, S01E25, S01E26, S01E27, S01E28, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E51",
さん,サン,Suffix for names (Mr./Ms.),N5,146,今日も　ハム<b>さん</b>ちゅうに びっくりすることが起こるのだ。,Something surprising will happen to Mr. Ham again today.,"S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51",
いい,よい,"1. good, excellent, fine, nice, pleasant, agreeable<br>2. sufficient, enough, ready, prepared<br>3. profitable (deal, business offer, etc.), beneficial<br>4. OK, all right, fine, no problem",N5,144,これが　完璧にできるようになると <b>いい</b>かもな。,It would be great if I could do this perfectly.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E44, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51",
なる,なる,"1. to become, to get, to grow, to be, to reach, to attain<br>2. to result in, to prove to be<br>3. to consist of, to be composed of<br>4. to succeed, to be complete<br>5. to change into, to be exchanged for<br>6. to play a role<br>7. to be promoted<br>8. to do ...",N5,144,これが　完璧にできるように<b>なる</b>と いいかもな。,It would be great if I could do this perfectly.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51",
トリック,トリック,1. trick,Unlabeled,140,＜ゼロが<b>トリック</b>を成功させ シュンにプレッシャーをかける。,<Zero succeeds in his trick and puts pressure on Shun.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51",
ある,ある,"1. to be, to exist, to live<br>2. to have<br>3. to be located<br>4. to be equipped with<br>5. to happen, to come about",N5,139,タヴァネルのもとに すべては平等で<b>ある</b>。,"Under Tavanel, all are equal.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E51",
どう,どう,"1. how, in what way, how about",N5,138,<b>どう</b>も ありがとうございました！,thank you very much!,"S01E01, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51",
ドラガオン,ドラガオン,1. dragaon (Auto-translated),Unlabeled,134,<b>ドラガオン</b>を扱うには　それなりの 試練を乗り越えてもらう。,"In order to handle Dragaon, you must overcome certain trials.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E27, S01E28, S01E30, S01E31, S01E33, S01E34, S01E36, S01E37, S01E38, S01E39",
すごい,すごい,"1. terrible, dreadful<br>2. amazing (e.g. of strength), great (e.g. of skills), wonderful, terrific<br>3. to a great extent, vast (in numbers)<br>4. awfully, very, immensely",N3,133,本当に１０回　回った？ もっと回したんじゃ？ <b>すごい</b>。,Did you really spin it 10 times? Didn't you spin it more? amazing.,"S01E01, S01E02, S01E03, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E30, S01E31, S01E32, S01E33, S01E34, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51",
シュート,シュート,"1. shooting (a ball), shot (on basket, at goal, etc.)<br>2. shoot (of a tree or plant)<br>3. chute<br>4. shuuto, shootball, type of pitch commonly used in Japan",Unlabeled,132,あいつは　<b>シュート</b>したあとでも メタルパーツを自在に操れる。,"Even after shooting, he can freely manipulate metal parts.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E27, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E38, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E49, S01E50, S01E51",
できる,できる,"1. to be able (in a position) to do, to be up to the task<br>2. to be ready, to be completed<br>3. to be made, to be built<br>4. to be good at, to be permitted (to do)<br>5. to become intimate, to take up (with somebody)<br>6. to grow, to be raised<br>7. to become pregnant",N5,132,我が　レオネスは　１ミリたりとも 動かすことは<b>でき</b>ぬ！,My Leones cannot move even one millimeter!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E15, S01E17, S01E18, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51",
僕,ぼく,I / Me (Male pronoun),N4,129,君ほど爆丸の神に愛されてる者を <b>僕</b>は見たことがない。,I've never seen anyone as loved by the god of Bakugan as you are.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E13, S01E14, S01E15, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E36, S01E37, S01E40, S01E41, S01E42, S01E44, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51",
じゃあ,で,"1. coming out, going out, outflow, efflux, rising (of the Sun or the Moon)<br>2. attending (work), appearing (on stage), one's turn to go on<br>3. start, beginning<br>4. origins, background, person (or item) originating from ..., graduate of ..., native of ..., member of ... (lineage)<br>5. architectural member that projects outward<br>6. highest point of the stern of a ship<br>7. amount (comprising something), amount of time or effort required to do something",N5,120,それ<b>じゃあ</b>　今日はこのへんで Ｋｅｅｐ　ｙｏ　Ｓｏｕｌ！,"Well, that's it for today, Keep yo Soul!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E21, S01E22, S01E23, S01E24, S01E26, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51",
今日,きょう,"1. today, this day<br>2. these days, recently, nowadays",N5,118,<b>今日</b>も　ハムさんちゅうに びっくりすることが起こるのだ。,Something surprising will happen to Mr. Ham again today.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51",
スピーカ,スピーカー,1. speaker,Unlabeled,117,[<b>ｽﾋﾟｰｶ</b>]ムニキス　スタンド。 意外と簡単だな。,[Speaker] Munikis stand. It's surprisingly easy.,"S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E19, S01E20, S01E21, S01E23, S01E24, S01E27, S01E28, S01E30, S01E31, S01E32, S01E34, S01E35, S01E36, S01E37, S01E39, S01E42, S01E43, S01E44, S01E47",
なん,なに,"1. what<br>2. you-know-what, that thing<br>3. whatsit, whachamacallit, what's-his-name, what's-her-name<br>4. (not) at all, (not) in the slightest<br>5. what?, huh?<br>6. hey!<br>7. oh, no (it's fine), why (it's nothing), oh (certainly not)",Unlabeled,116,速報です。　<b>なん</b>と消費税が ２万％になりました。,"Breaking news. The consumption tax has increased to 20,000%.","S01E01, S01E02, S01E06, S01E08, S01E09, S01E10, S01E11, S01E13, S01E14, S01E15, S01E16, S01E17, S01E19, S01E21, S01E23, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51",
みる,みる,"1. to see, to look, to watch, to view, to observe<br>2. to examine, to look over, to assess, to check, to judge<br>3. to look after, to attend to, to take care of, to keep an eye on<br>4. to experience, to meet with (misfortune, success, etc.)<br>5. to try ..., to have a go at ..., to give ... a try<br>6. to see (that) ..., to find (that) ...",Unlabeled,111,これができるようになったら １回だけ　ループを返して<b>みる</b>。,"Once you can do this, try returning the loop just once.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50, S01E51",
