Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image
お前,おまえ,"1. you<br>2. presence (of a god, nobleman, etc.)",Unlabeled,128,コイツは今までの　<b>お前</b>にとって 補助輪みて～なもんだった,This guy has been like a training wheel for you up until now.,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
なん,なに,"1. what<br>2. you-know-what, that thing<br>3. whatsit, whachamacallit, what's-his-name, what's-her-name<br>4. (not) at all, (not) in the slightest<br>5. what?, huh?<br>6. hey!<br>7. oh, no (it's fine), why (it's nothing), oh (certainly not)",Unlabeled,127,そこを<b>なん</b>とか！ おねがいしまっス！,"Do something about that! Please, please!","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
やる,やる,"1. to do, to undertake, to perform, to play (a game), to study<br>2. to send, to dispatch, to despatch<br>3. to put, to move, to turn (one's head, glance, etc.)<br>4. to give (esp. to someone of equal or lower status), to let have, to present, to bestow, to confer<br>5. to make (a vehicle) go faster<br>6. to run (a business), to keep, to be engaged in, to practice (law, medicine, etc.), to practise<br>7. to have (food, drink, etc.), to eat, to drink, to smoke<br>8. to hold (a performance), to perform, to show<br>9. to ease (one's mind)<br>10. to harm, to injure, to kill<br>11. to have sex with<br>12. to live, to get by, to get along<br>13. to do ... completely<br>14. to do ... broadly, to do ... to a great distance<br>15. to do ... for (someone of equal or lower status), to do ... to (sometimes with negative nuance)<br>16. to make active efforts to ...",N5,122,ビーフだ～！ シャドウとレキが<b>やる</b>ぞ！ 勇気を見せろ～！,It's beef! Shadow and Reki will do it! Show your courage!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
こと,コト,Thing (Intangible) / Nominalizer,N4,113,俺のスケートをバカにした<b>こと</b> 取り消してもらうぞ　シャドウ！,"I'll have you take back the fact that you made fun of my skating, Shadow!","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
んっ,ん,"1. yes, yeah, uh huh<br>2. huh?, what?<br>3. 's, of, belonging to",Unlabeled,113,<b>んっ</b>！ よせ！ その先は手すりが切れてる！,"Huh! Away! Beyond that, the handrail is cut!","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
ランガ,ランガ,Langa,Unlabeled,108,でも<b>ランガ</b>が！ アイツは立つ,But Ranga! He stands,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
です,デス,To be (Polite Copula),Unlabeled,106,はぁ～い！　今日はかわいいのが 入ってるん<b>です</b>よぉ！,Yes! I've got something cute today!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
なる,なる,"1. to become, to get, to grow, to be, to reach, to attain<br>2. to result in, to prove to be<br>3. to consist of, to be composed of<br>4. to succeed, to be complete<br>5. to change into, to be exchanged for<br>6. to play a role<br>7. to be promoted<br>8. to do ...",N5,101,これでケガも　ちっとはマシに<b>なる</b>,This will make your injuries a little better.,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
僕,ぼく,I / Me (Male pronoun),N4,96,高野がクロとなれば <b>僕</b>も偽証罪を問われることになる,"If Takano turns out to be Kuro, I will also be charged with perjury.","#02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
スケート,スケート,"1. skating (esp. ice), skate, skates",N3,95,俺の<b>スケート</b>をバカにしたこと 取り消してもらうぞ　シャドウ！,"I'll have you take back the fact that you made fun of my skating, Shadow!","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
そう,そう,So / That way / Seeming,N4,92,<b>そう</b>いうウソは最低っスよ！店長のくせに！,That kind of lie is the worst! Even though you're the manager!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
いる,いる,"1. to be (of animate objects), to exist<br>2. to stay<br>3. to be ...-ing, to have been ...-ing",Unlabeled,90,ここには次に 愛抱夢と滑るヤツが<b>いる</b>だろ～が,"There's going to be someone here next who's going to skate with Aimu, right?","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
ます,ます,Polite verb ending,Unlabeled,90,私が勝ったら　愛之介様には スケートをやめていただき<b>ます</b>,"If I win, Ainosuke-sama will be asked to stop skating.","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
何,なに,What,N5,85,レキが俺に <b>何</b>でも聞けって言ったのに,Reki told me to ask him anything.,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
くる,くる,"1. to come (spatially or temporally), to approach, to arrive<br>2. to come back, to do ... and come back<br>3. to come to be, to become, to get, to grow, to continue<br>4. to come from, to be caused by, to derive from<br>5. to come to (i.e. ""when it comes to spinach ..."")",Unlabeled,82,本番では もっと頑丈なやつにして<b>き</b>なよ,I'll have to use something more sturdy for the actual performance.,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
ある,ある,"1. to be, to exist, to live<br>2. to have<br>3. to be located<br>4. to be equipped with<br>5. to happen, to come about",N5,80,でもMIYAが ケガにすげぇ効く温泉が<b>ある</b>って—,But MIYA says there's a hot spring that's amazingly effective for injuries.,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
それ,ソレ,That one,N5,79,<b>それ</b>はどうでもいいんだよ！,It doesn't matter!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
どう,どう,"1. how, in what way, how about",N5,78,それは<b>どう</b>でもいいんだよ！,It doesn't matter!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
いい,よい,"1. good, excellent, fine, nice, pleasant, agreeable<br>2. sufficient, enough, ready, prepared<br>3. profitable (deal, business offer, etc.), beneficial<br>4. OK, all right, fine, no problem",N5,77,それはどうでも<b>いい</b>んだよ！,It doesn't matter!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
言う,いう,"1. to say, to utter, to declare<br>2. to name, to call<br>3. to go (e.g. ""the alarm went ping""), to make a noise",N5,76,レキが俺に 何でも聞けって<b>言っ</b>たのに,Reki told me to ask him anything.,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
けど,ケド,But / Although,Unlabeled,75,まあ　お兄ちゃんがかっこ悪いのは いつものことだ<b>けど</b>ね,"Well, as always, my brother is uncool.","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
じゃ,ジャ,Well then / To be (de-wa),N5,74,は!? ガキ一人<b>じゃ</b>務まんねぇだろうが！,Huh!? A kid can't handle it alone!,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
れる,レル,Passive / Potential Form,Unlabeled,73,高野がクロとなれば 僕も偽証罪を問わ<b>れる</b>ことになる,"If Takano turns out to be Kuro, I will also be charged with perjury.","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
これ,コレ,This one,N5,65,<b>これ</b>でケガも　ちっとはマシになる,This will make your injuries a little better.,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
滑る,すべる,"1. to glide, to slide (e.g. on skis), to slip<br>2. to fail (an examination), to bomb (when telling a joke)<br>3. to drop, to go down, to come down, to fall (e.g. in status)",N4,65,どうだ！ 普通に<b>滑っ</b>ても俺は速いんだよ！,"What do you think? Even if I skate normally, I'm fast!","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
ああ,ああ,"1. ah!, oh!, alas!<br>2. yes, indeed, that is correct<br>3. aah, gah, argh<br>4. hey!, yo!<br>5. uh huh, yeah yeah, right, gotcha",N4,60,<b>ああ</b>　初めてのヤツは それがないと入れない,"Ah, first-timers can't enter without it.","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
あの,アノ,That (Distant),N5,58,俺たちは全力で <b>あの</b>ルーキーを潰しに行くぞ,We'll do everything in our power to destroy that rookie.,"#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
勝つ,かつ,"1. to win, to gain victory",N4,56,私が<b>勝っ</b>たら　愛之介様には スケートをやめていただきます,"If I win, Ainosuke-sama will be asked to stop skating.","#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
この,この,This (Demonstrative),N5,55,幼いころから叔母様方に 愛を注がれてきた　<b>この</b>僕が,"Since I was little, my aunts have showered me with love.","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
いう,いう,"1. to say, to utter, to declare<br>2. to name, to call<br>3. to go (e.g. ""the alarm went ping""), to make a noise",Unlabeled,55,[モニター]現状では 任意同行と<b>いう</b>形ですが—,"[Monitor] Currently, it is a voluntary accompaniment, but...","#01 PART 熱い夜に雪が降る.ja, #02 PART はじめてのサイコー！.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
アイツ,あいつら,"1. they, those guys, those fellows",Unlabeled,55,何度言っても <b>アイツ</b>は動きに無駄が多い,"No matter how many times I say it, his movements are wasteful.","#01 PART 熱い夜に雪が降る.ja, #03 PART 望まない勇者.ja, #04 PART 愛のマタドール、愛抱夢.ja, #05 PART 情熱のダンシングNight!.ja, #06 PART 湯けむりミステリースケート？!.ja, #07 PART つりあわねーんだよ.ja, #08 PART 宿命のトーナメント!.ja, #09 PART あの時、俺たちは特別だった.ja, #10 PART 言葉のいらないDAP.ja, #11 PART キング VS ザコ.ja, #12 PART 俺たちの無限大!.ja",
