Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image,WordAudio,SentenceAudio
私,わたし,I / Me,N5,454,<b>私</b>は柔道場などには 足を踏み入れたことがないですね,I've never set foot in a judo hall.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E15_00_17_43_145.jpg"">",[sound:Lucky Star_word_dbc879e1.mp3],[sound:Lucky Star_sent_fa686d22.mp3]
ある,ある,"1. to be, to exist, to live<br>2. to have<br>3. to be located<br>4. to be equipped with<br>5. to happen, to come about",N5,429,枚数が多いと抽選担当者によっては はねられることも<b>ある</b>からね,"If there are too many tickets, the person in charge of the lottery may reject your ticket.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E03_00_03_49_687.jpg"">",[sound:Lucky Star_word_82b6cc40.mp3],[sound:Lucky Star_sent_33b3c262.mp3]
何,なに,What,N5,420,皆さんと<b>何</b>かをできるチャンスに 恵まれて うれしいです！,I'm so happy to have had the opportunity to do something with you all!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E24_00_19_12_109.jpg"">",[sound:Lucky Star_word_3265cdd0.mp3],[sound:Lucky Star_sent_1ef22a5a.mp3]
なる,なる,"1. to become, to get, to grow, to be, to reach, to attain<br>2. to result in, to prove to be<br>3. to consist of, to be composed of<br>4. to succeed, to be complete<br>5. to change into, to be exchanged for<br>6. to play a role<br>7. to be promoted<br>8. to do ...",N5,382,そこで つかさとかがみも 踊ることに<b>なり</b>ました！,Tsukasa and Kagami also decided to dance there!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E24_00_06_10_787.jpg"">",[sound:Lucky Star_word_3288e92f.mp3],[sound:Lucky Star_sent_595dfa08.mp3]
いい,よい,"1. good, excellent, fine, nice, pleasant, agreeable<br>2. sufficient, enough, ready, prepared<br>3. profitable (deal, business offer, etc.), beneficial<br>4. OK, all right, fine, no problem",N5,376,“<b>いい</b>気になるな”って？ もうそんなことないですから！,“I feel good about it”? That doesn't happen anymore!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E12_00_21_27_286.jpg"">",[sound:Lucky Star_word_c8e79cdc.mp3],[sound:Lucky Star_sent_35ffd34c.mp3]
こと,コト,Thing (Intangible) / Nominalizer,N4,369,この<b>こと</b>は 誰にも言わないでくれよな！,Please don't tell anyone about this!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E21_00_16_47_089.jpg"">",[sound:Lucky Star_word_2ab01f1e.mp3],[sound:Lucky Star_sent_7305cf7d.mp3]
さん,サン,Suffix for names (Mr./Ms.),N5,337,皆<b>さん</b>と何かをできるチャンスに 恵まれて うれしいです！,I'm so happy to have had the opportunity to do something with you all!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E24_00_19_12_109.jpg"">",[sound:Lucky Star_word_93663a35.mp3],[sound:Lucky Star_sent_1ef22a5a.mp3]
あっ,あっ,"1. ah, oh<br>2. hey!",N3,334,２人とも宿題とかは大丈夫かい？ <b>あっ</b>！,Are you both okay with your homework? Ah!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E02_00_04_58_298.jpg"">",[sound:Lucky Star_word_e24f9ead.mp3],[sound:Lucky Star_sent_7eb832de.mp3]
それ,ソレ,That one,N5,307,もとい！ さあ！ <b>それ</b>では 気を取り直していってみましょう！,Motoi! here we go! So let's take care of ourselves!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E24_00_23_25_362.jpg"">",[sound:Lucky Star_word_b3de9c30.mp3],[sound:Lucky Star_sent_8226d1cf.mp3]
やる,やる,"1. to do, to undertake, to perform, to play (a game), to study<br>2. to send, to dispatch, to despatch<br>3. to put, to move, to turn (one's head, glance, etc.)<br>4. to give (esp. to someone of equal or lower status), to let have, to present, to bestow, to confer<br>5. to make (a vehicle) go faster<br>6. to run (a business), to keep, to be engaged in, to practice (law, medicine, etc.), to practise<br>7. to have (food, drink, etc.), to eat, to drink, to smoke<br>8. to hold (a performance), to perform, to show<br>9. to ease (one's mind)<br>10. to harm, to injure, to kill<br>11. to have sex with<br>12. to live, to get by, to get along<br>13. to do ... completely<br>14. to do ... broadly, to do ... to a great distance<br>15. to do ... for (someone of equal or lower status), to do ... to (sometimes with negative nuance)<br>16. to make active efforts to ...",N5,305,よし！ 今日は ちょっとでも<b>やろう</b>！,Okay! Let's do a little bit today!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E04_00_11_49_041.jpg"">",[sound:Lucky Star_word_84e399fe.mp3],[sound:Lucky Star_sent_e66b03f5.mp3]
うん,うん,Yeah / Yes (casual),N4,298,ゲームはちょっとやりにくいかも <b>うん</b>？,"The game might be a little difficult to play, huh?","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E02_00_12_59_487.jpg"">",[sound:Lucky Star_word_8059f43b.mp3],[sound:Lucky Star_sent_3d7473f5.mp3]
言う,いう,"1. to say, to utter, to declare<br>2. to name, to call<br>3. to go (e.g. ""the alarm went ping""), to make a noise",N5,281,このことは 誰にも<b>言わ</b>ないでくれよな！,Please don't tell anyone about this!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E21_00_16_47_089.jpg"">",[sound:Lucky Star_word_969e48c7.mp3],[sound:Lucky Star_sent_7305cf7d.mp3]
ああ,ああ,"1. ah!, oh!, alas!<br>2. yes, indeed, that is correct<br>3. aah, gah, argh<br>4. hey!, yo!<br>5. uh huh, yeah yeah, right, gotcha",N4,265,<b>ああ</b> でも みゆきは他のことが できすぎてて感覚が違うから,"Ah, but Miyuki is so good at other things that she feels different.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E04_00_14_29_243.jpg"">",[sound:Lucky Star_word_267239f4.mp3],[sound:Lucky Star_sent_b111b0a2.mp3]
ちゃん,チャン,Suffix for familiar names (Cute/Female),N4,262,最近 テレビとかでも よく ２<b>ちゃん</b>を見かけるようになったね,"Lately, I've been seeing 2-chan a lot on TV.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E10_00_11_29_939.jpg"">",[sound:Lucky Star_word_b81c0b49.mp3],[sound:Lucky Star_sent_bc34b18d.mp3]
ねえ,ねえ,Hey! / Look! / (seeking agreement) / No / Not (Slang negative),Unlabeled,257,でも<b>ねえ</b> 会場が この有明になってからは,"But hey, ever since the venue was Ariake,","S01E01, S01E02, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E12_00_09_29_652.jpg"">",[sound:Lucky Star_word_f6ed6140.mp3],[sound:Lucky Star_sent_06cf0b09.mp3]
いる,いる,"1. to be (of animate objects), to exist<br>2. to stay<br>3. to be ...-ing, to have been ...-ing",Unlabeled,254,いまだ見知らぬ子供に 声をかける者が<b>いる</b>とは嘆かわしい,It is deplorable that there are still people who call out to unknown children.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E14_00_09_04_502.jpg"">",[sound:Lucky Star_word_da884372.mp3],[sound:Lucky Star_sent_bb6efa60.mp3]
これ,コレ,This one,N5,234,こなたも <b>これ</b>からは 宿題を自分ですると,"From now on, you will do your own homework.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E03_00_09_19_725.jpg"">",[sound:Lucky Star_word_f0b5ecd0.mp3],[sound:Lucky Star_sent_127fc64b.mp3]
どう,どう,"1. how, in what way, how about",N5,232,でもさ 自分の腕とかに 蚊が止まったら<b>どう</b>するの？,But what if a mosquito lands on your arm?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E20_00_04_59_924.jpg"">",[sound:Lucky Star_word_d1a5f020.mp3],[sound:Lucky Star_sent_98d66497.mp3]
この,この,This (Demonstrative),N5,231,では <b>この</b>お客様にオススメしてみろ 君が考える真の掘り出し物を！,"So, let's recommend this customer what you think is a true bargain!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E12_00_11_55_798.jpg"">",[sound:Lucky Star_word_fad04fc9.mp3],[sound:Lucky Star_sent_30bc923a.mp3]
思う,おもう,"1. to think, to consider, to believe, to reckon<br>2. to think (of doing), to plan (to do)<br>3. to judge, to assess, to regard<br>4. to imagine, to suppose, to dream<br>5. to expect, to look forward to<br>6. to feel, to be (in a state of mind), to desire, to want<br>7. to recall, to remember",N4,223,すぐにでも泉さんたちと お見舞いにと<b>思っ</b>たのですが,I was hoping to visit Izumi-san and the others soon.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E01_00_12_57_735.jpg"">",[sound:Lucky Star_word_c64ca071.mp3],[sound:Lucky Star_sent_74d003be.mp3]
ちゃう,チャッ,To do completely / Regret (te-shimau),Unlabeled,219,人が選んだほうのを食べたかったと 思っ<b>ちゃう</b>のは なんでだろう,Why do I wish I had eaten the food that the other person had chosen?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E20_00_13_01_197.jpg"">",[sound:Lucky Star_word_04fd9e9f.mp3],[sound:Lucky Star_sent_97864740.mp3]
もう,もう,"1. now, soon, shortly, before long, presently<br>2. already, yet, by now, (not) anymore<br>3. further, more, again, another, the other<br>4. tsk, dammit, jeez, come on, what the hell",N5,215,“いい気になるな”って？ <b>もう</b>そんなことないですから！,“I feel good about it”? That doesn't happen anymore!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E12_00_21_27_286.jpg"">",[sound:Lucky Star_word_32598316.mp3],[sound:Lucky Star_sent_35ffd34c.mp3]
分かる,わかる,"1. to understand, to comprehend, to grasp, to see, to get, to follow<br>2. to become clear, to be known, to be discovered, to be realized, to be realised, to be found out<br>3. I know!, I think so too!",N5,213,<b>分から</b>ないこととかは 話しやすい人に聞く！,Ask someone you can talk to about anything you don't understand!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E24_00_09_32_572.jpg"">",[sound:Lucky Star_word_999e8c0f.mp3],[sound:Lucky Star_sent_ec145590.mp3]
なん,なに,"1. what<br>2. you-know-what, that thing<br>3. whatsit, whachamacallit, what's-his-name, what's-her-name<br>4. (not) at all, (not) in the slightest<br>5. what?, huh?<br>6. hey!<br>7. oh, no (it's fine), why (it's nothing), oh (certainly not)",Unlabeled,212,人が選んだほうのを食べたかったと 思っちゃうのは <b>なん</b>でだろう,Why do I wish I had eaten the food that the other person had chosen?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E20_00_13_01_197.jpg"">",[sound:Lucky Star_word_916cafe9.mp3],[sound:Lucky Star_sent_97864740.mp3]
あんた,あんた,You (informal/blunt),Unlabeled,203,<b>あんた</b>はメールもらっても すぐに返信しないでしょう,"Even if you receive an email, you won't reply right away.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E07_00_17_27_254.jpg"">",[sound:Lucky Star_word_4d09217f.mp3],[sound:Lucky Star_sent_a694e6e3.mp3]
人,ひと,Person / People,N5,201,ぞんざいに扱ってる<b>人</b>を 見かけると本気で腹が立つんだよね,I get really angry when I see people treating me poorly.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E22, S01E23, S01E24","<img src=""S01E03_00_16_46_380.jpg"">",[sound:Lucky Star_word_50f5d65d.mp3],[sound:Lucky Star_sent_1d4ece70.mp3]
はい,はい,"1. yes, that is correct<br>2. understood, I see, OK, okay<br>3. present, here<br>4. pardon?, what's that?, come again?<br>5. now, here, here you go<br>6. giddy-up, giddap",N5,194,あっ <b>はい</b> そのとおりであります！,"Ah yes, that's right!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E14_00_19_50_230.jpg"">",[sound:Lucky Star_word_8f90d85e.mp3],[sound:Lucky Star_sent_2e8f6b86.mp3]
れる,レ,Passive / Potential Form,Unlabeled,191,そ<b>れ</b>がこっちでは こんなんだけど あっちじゃ賢者とか呼ばれててさ！,"That's what it's like here, but over there they're called sages!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E22_00_03_46_935.jpg"">",[sound:Lucky Star_word_ff951919.mp3],[sound:Lucky Star_sent_566ee94d.mp3]
行く,いく,"1. to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach<br>2. to proceed, to take place<br>3. to pass through, to come and go<br>4. to walk<br>5. to die, to pass away<br>6. to do (in a specific way)<br>7. to stream, to flow<br>8. to continue<br>9. to have an orgasm, to come, to cum<br>10. to trip, to get high, to have a drug-induced hallucination",N5,180,今日は卒業祝いってことで みんなで飲みに<b>行く</b>か！,"Today is a graduation celebration, so let's all go out for drinks!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E14_00_15_55_412.jpg"">",[sound:Lucky Star_word_d74a571f.mp3],[sound:Lucky Star_sent_ad23b6d2.mp3]
いや,ひ,"1. no, the noes",Unlabeled,177,<b>いや</b> 図書館だと さすがに漫画はないでしょう,"No, if it's a library, there probably won't be any manga.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E09_00_01_48_983.jpg"">",[sound:Lucky Star_word_de9b2724.mp3],[sound:Lucky Star_sent_daa2ccbc.mp3]
かがみ,カガミ,Kagami,Unlabeled,175,そこで つかさと<b>かがみ</b>も 踊ることになりました！,Tsukasa and Kagami also decided to dance there!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E24_00_06_10_787.jpg"">",[sound:Lucky Star_word_6135bc8b.mp3],[sound:Lucky Star_sent_595dfa08.mp3]
くる,くる,"1. to come (spatially or temporally), to approach, to arrive<br>2. to come back, to do ... and come back<br>3. to come to be, to become, to get, to grow, to continue<br>4. to come from, to be caused by, to derive from<br>5. to come to (i.e. ""when it comes to spinach ..."")",Unlabeled,171,200円を入れて お釣りが 50円と10円で返って<b>き</b>た時は―,When I put in 200 yen and got 50 yen and 10 yen in change...,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E02_00_23_17_938.jpg"">",[sound:Lucky Star_word_e7637f6e.mp3],[sound:Lucky Star_sent_5d1c50d0.mp3]
見る,みる,"1. to see, to look, to watch, to view, to observe<br>2. to examine, to look over, to assess, to check, to judge<br>3. to look after, to attend to, to take care of, to keep an eye on<br>4. to experience, to meet with (misfortune, success, etc.)<br>5. to try ..., to have a go at ..., to give ... a try<br>6. to see (that) ..., to find (that) ...",N5,170,でも <b>見</b>てると自分が けなげに思えてくるよ,"But when I look at it, I start to feel inferior.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E15_00_19_43_765.jpg"">",[sound:Lucky Star_word_c1ee2c0c.mp3],[sound:Lucky Star_sent_7c499417.mp3]
なあ,なあ,Hey / I wonder (sentence ending particle),Unlabeled,170,ウソでも“勉強してた”と 言うてくれへんか<b>なあ</b>,I wonder if you could just say ``I was studying'' even if it was a lie.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E23_00_08_45_107.jpg"">",[sound:Lucky Star_word_61842af8.mp3],[sound:Lucky Star_sent_90094988.mp3]
だけ,だけ,"1. only, just, merely, simply, no more than, nothing but, alone<br>2. as much as, to the extent of, enough to",Unlabeled,157,でも かがみ<b>だけ</b>は ずっとクラス違ったね,But Kagami was always in a different class.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24","<img src=""S01E15_00_18_36_198.jpg"">",[sound:Lucky Star_word_520ce612.mp3],[sound:Lucky Star_sent_b585745a.mp3]
えっ,えっ,"1. huh?, what's up?",Unlabeled,152,それで？ 見つかったの？ <b>えっ</b> いないの？ どこにも,So? Did you find it? What? You're not there? nowhere,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E24","<img src=""S01E22_00_21_11_061.jpg"">",[sound:Lucky Star_word_80969d56.mp3],[sound:Lucky Star_sent_642a876f.mp3]
