Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image
ちゃん,チャン,Suffix for familiar names (Cute/Female),N4,265,麻衣<b>ちゃん</b>には ちょっと 難しいかもしれないから,It might be a little difficult for Mai-chan.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
私,わたし,I / Me,N5,252,<b>私</b>は もっと 普通が いいんです！,I prefer normal!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
これ,コレ,This one,N5,240,だよね　でも <b>これ</b>からは 気をつけないとね,"That's right, but I have to be careful from now on.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
ああ,ああ,"1. ah!, oh!, alas!<br>2. yes, indeed, that is correct<br>3. aah, gah, argh<br>4. hey!, yo!<br>5. uh huh, yeah yeah, right, gotcha",N4,229,<b>ああ</b> 今すぐにでも部屋に上がり 研究室を見たい,"Ah, I want to go to my room right now and see the laboratory.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
言う,いう,"1. to say, to utter, to declare<br>2. to name, to call<br>3. to go (e.g. ""the alarm went ping""), to make a noise",N5,225,俺が<b>言っ</b>たのは そう言うことじゃねえ！,That's not what I said!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
なん,なに,"1. what<br>2. you-know-what, that thing<br>3. whatsit, whachamacallit, what's-his-name, what's-her-name<br>4. (not) at all, (not) in the slightest<br>5. what?, huh?<br>6. hey!<br>7. oh, no (it's fine), why (it's nothing), oh (certainly not)",Unlabeled,213,まずいと分かってるもの <b>なん</b>で作るんだよ！,Why would you make something that you know is bad?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
そう,そう,So / That way / Seeming,N4,209,巻いても親指がＵＳＢとか <b>そう</b>いうロボ的なものではなくて,"Even if you wrap it around, your thumb is a USB or something like that, it's not like a robot.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
はかせ,ハカセ,Hakase,Unlabeled,208,なのは <b>はかせ</b>が嫌いだから ネギとかで意地悪して！,"Nanoha doesn't like Hakase, so she's mean to him with green onions!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
ねえ,ねえ,Hey! / Look! / (seeking agreement) / No / Not (Slang negative),Unlabeled,197,俺が言ったのは そう言うことじゃ<b>ねえ</b>！,That's not what I said!,"S01E01, S01E02, S01E03, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
いう,いう,"1. to say, to utter, to declare<br>2. to name, to call<br>3. to go (e.g. ""the alarm went ping""), to make a noise",Unlabeled,194,誰が私に 審判を下すと<b>いう</b>のです？,Who will judge me?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
この,この,This (Demonstrative),N5,190,はあ？ バカって言ったほうが バカでしょ　<b>この</b> バカ！,"Huh? It would be more stupid to call you an idiot, you idiot!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
やる,やる,"1. to do, to undertake, to perform, to play (a game), to study<br>2. to send, to dispatch, to despatch<br>3. to put, to move, to turn (one's head, glance, etc.)<br>4. to give (esp. to someone of equal or lower status), to let have, to present, to bestow, to confer<br>5. to make (a vehicle) go faster<br>6. to run (a business), to keep, to be engaged in, to practice (law, medicine, etc.), to practise<br>7. to have (food, drink, etc.), to eat, to drink, to smoke<br>8. to hold (a performance), to perform, to show<br>9. to ease (one's mind)<br>10. to harm, to injure, to kill<br>11. to have sex with<br>12. to live, to get by, to get along<br>13. to do ... completely<br>14. to do ... broadly, to do ... to a great distance<br>15. to do ... for (someone of equal or lower status), to do ... to (sometimes with negative nuance)<br>16. to make active efforts to ...",N5,189,まっ たまには お前らとも 遊んで<b>やら</b>んとな,"Well, I guess I should play with you guys once in a while.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
それ,ソレ,That one,N5,187,でも 今の私に できることは <b>それ</b>だけ,But that's all I can do for now,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
こと,コト,Thing (Intangible) / Nominalizer,N4,185,もう ２人のお昼まで 私が買う<b>こと</b>になるとは,I never thought I'd be the one to buy lunch for the two of them.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
くる,くる,"1. to come (spatially or temporally), to approach, to arrive<br>2. to come back, to do ... and come back<br>3. to come to be, to become, to get, to grow, to continue<br>4. to come from, to be caused by, to derive from<br>5. to come to (i.e. ""when it comes to spinach ..."")",Unlabeled,183,飛んだら最後 人を目がけて やみくもに突っこんで<b>くる</b>,"When it flies, it blindly rushes towards the person at the end.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
ちゃう,チャッ,To do completely / Regret (te-shimau),Unlabeled,177,古代兵器を手に入れることが でき<b>ちゃう</b>　ハッハッハッ,I can get my hands on an ancient weapon hahaha,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
もう,もう,"1. now, soon, shortly, before long, presently<br>2. already, yet, by now, (not) anymore<br>3. further, more, again, another, the other<br>4. tsk, dammit, jeez, come on, what the hell",N5,174,<b>もう</b> ２人のお昼まで 私が買うことになるとは,I never thought I'd be the one to buy lunch for the two of them.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
いる,いる,"1. to be (of animate objects), to exist<br>2. to stay<br>3. to be ...-ing, to have been ...-ing",Unlabeled,171,桜井が<b>い</b>ないと まともに部の説明もできないなあ,"Without Sakurai, I wouldn't be able to properly explain the club.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
なる,なる,"1. to become, to get, to grow, to be, to reach, to attain<br>2. to result in, to prove to be<br>3. to consist of, to be composed of<br>4. to succeed, to be complete<br>5. to change into, to be exchanged for<br>6. to play a role<br>7. to be promoted<br>8. to do ...",N5,170,もう ２人のお昼まで 私が買うことに<b>なる</b>とは,I never thought I'd be the one to buy lunch for the two of them.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
けど,ケド,But / Although,Unlabeled,170,バカには分かんない でしょう<b>けど</b>ね！,I'm sure a fool wouldn't understand!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
どう,どう,"1. how, in what way, how about",N5,160,<b>どう</b>考えても さっきのは なですぎやろ！,"No matter how you look at it, you stroked it too much earlier!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
ある,ある,"1. to be, to exist, to live<br>2. to have<br>3. to be located<br>4. to be equipped with<br>5. to happen, to come about",N5,158,立花みさとも 悪気が<b>あっ</b>たわけではないのだ,Misato Tachibana didn't mean any harm.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
ハア,はあはあ,"1. gasp, pant",Unlabeled,146,<b>ハア</b> ハア　うわっ！,Haha haha Wow!,"S01E01, S01E02, S01E06, S01E07, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E18, S01E19, S01E20, S01E22, S01E23, S01E24, S01E25, S01E26",
分かる,わかる,"1. to understand, to comprehend, to grasp, to see, to get, to follow<br>2. to become clear, to be known, to be discovered, to be realized, to be realised, to be found out<br>3. I know!, I think so too!",N5,146,バカには<b>分かん</b>ない でしょうけどね！,I'm sure a fool wouldn't understand!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
ちょっと,ちょっと,A little / A moment,N5,142,はかせ　<b>ちょっと</b>部屋のゴミ 片づけてもらっていいですか？,"Hakase, could you please clean up the trash in your room?","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
じゃあ,で,"1. coming out, going out, outflow, efflux, rising (of the Sun or the Moon)<br>2. attending (work), appearing (on stage), one's turn to go on<br>3. start, beginning<br>4. origins, background, person (or item) originating from ..., graduate of ..., native of ..., member of ... (lineage)<br>5. architectural member that projects outward<br>6. highest point of the stern of a ship<br>7. amount (comprising something), amount of time or effort required to do something",N5,135,<b>じゃあ</b> 私は なのに戻ったところで―,"Well then, when I returned...","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
いや,ひ,"1. no, the noes",Unlabeled,126,<b>いや</b> なに 当然のことをしたまでです,"No, I did the obvious thing.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
さん,サン,Suffix for names (Mr./Ms.),N5,124,もしかして阪本<b>さん</b>のスカーフを カラスに着けたんですか？,Did you put Mr. Sakamoto's scarf on the crow?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
はい,はい,"1. yes, that is correct<br>2. understood, I see, OK, okay<br>3. present, here<br>4. pardon?, what's that?, come again?<br>5. now, here, here you go<br>6. giddy-up, giddap",N5,121,それはそうと 今日ゆっこの 誕生日でしょ？ <b>はい</b>！,"By the way, today is Yukko's birthday, right? yes!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E16, S01E17, S01E18, S01E21, S01E23, S01E24, S01E25, S01E26",
みお,ミオ,Mio,Unlabeled,119,くっ もう！ バカバカ うるさいんだよ <b>みお</b>ちゃんは！,"Damn it already! You idiot, Mio-chan is so noisy!","S01E01, S01E02, S01E03, S01E05, S01E06, S01E07, S01E09, S01E12, S01E14, S01E16, S01E18, S01E19, S01E20, S01E21, S01E23, S01E24, S01E25, S01E26",
れる,レ,Passive / Potential Form,Unlabeled,116,きょうび 宿題を忘れたぐらいで 廊下に立たさ<b>れる</b>とは,"Today, I forgot my homework and was forced to stand in the hallway.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
えっ,えっ,"1. huh?, what's up?",Unlabeled,115,<b>えっ</b>！ なんで阪本ばっかりで はかせはダメなの！,Huh! Why is it all about Sakamoto and no Hakase?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
阪本,サカモト,Sakamoto,Unlabeled,109,気を遣って 言葉には出さない<b>阪本</b>である,Sakamoto is so careful that he doesn't express it in words.,"S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E13, S01E14, S01E16, S01E17, S01E19, S01E20, S01E22, S01E24, S01E26",
行く,いく,"1. to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach<br>2. to proceed, to take place<br>3. to pass through, to come and go<br>4. to walk<br>5. to die, to pass away<br>6. to do (in a specific way)<br>7. to stream, to flow<br>8. to continue<br>9. to have an orgasm, to come, to cum<br>10. to trip, to get high, to have a drug-induced hallucination",N5,106,朝ごはん食べたら どっか散歩にでも<b>行こう</b>かなあ,"After I eat breakfast, I think I'll go for a walk somewhere.","S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
今日,きょう,"1. today, this day<br>2. these days, recently, nowadays",N5,104,しかし <b>今日</b>は厄日か とんでもなく恥ずかしかったよ！,But today was a bad day and I was so embarrassed!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
ああっ,ああ,"1. ah!, oh!, alas!<br>2. yes, indeed, that is correct<br>3. aah, gah, argh<br>4. hey!, yo!<br>5. uh huh, yeah yeah, right, gotcha",Unlabeled,104,<b>ああっ</b> えっと つまり そのフリフリは何なんでしょう？,"Ah, um, I mean, what is that frilly thing?","S01E01, S01E02, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
うっ,うう,"1. to plant, to grow",Unlabeled,102,も<b>うっ</b> 私に 付きまとわないでください！,Please don't follow me anymore!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
食べる,たべる,"1. to eat<br>2. to live on (e.g. a salary), to live off, to subsist on",N5,101,朝ごはん<b>食べ</b>たら どっか散歩にでも行こうかなあ,"After I eat breakfast, I think I'll go for a walk somewhere.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E16, S01E18, S01E19, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
ゆっこ,ユッコ,Yukko,Unlabeled,96,それはそうと 今日<b>ゆっこ</b>の 誕生日でしょ？ はい！,"By the way, today is Yukko's birthday, right? yes!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E22, S01E24, S01E25, S01E26",
俺,おれ,I / Me (Masculine),N1,96,<b>俺</b>が言ったのは そう言うことじゃねえ！,That's not what I said!,"S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25",
麻衣,マイ,Mai,Unlabeled,94,<b>麻衣</b>ちゃんには ちょっと 難しいかもしれないから,It might be a little difficult for Mai-chan.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E11, S01E12, S01E16, S01E17, S01E18, S01E19, S01E20, S01E26",
買う,かう,"1. to buy, to purchase<br>2. to value, to have a high opinion<br>3. to stir, to provoke, to draw upon oneself",N5,94,もう ２人のお昼まで 私が<b>買う</b>ことになるとは,I never thought I'd be the one to buy lunch for the two of them.,"S01E02, S01E03, S01E04, S01E07, S01E08, S01E11, S01E12, S01E13, S01E14, S01E20, S01E21, S01E24, S01E26",
なあ,なあ,Hey / I wonder (sentence ending particle),Unlabeled,93,桜井がいないと まともに部の説明もできない<b>なあ</b>,"Without Sakurai, I wouldn't be able to properly explain the club.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E25, S01E26",
思う,おもう,"1. to think, to consider, to believe, to reckon<br>2. to think (of doing), to plan (to do)<br>3. to judge, to assess, to regard<br>4. to imagine, to suppose, to dream<br>5. to expect, to look forward to<br>6. to feel, to be (in a state of mind), to desire, to want<br>7. to recall, to remember",N4,92,べつに あんたなんか 何とも<b>思っ</b>ていないんだから！,I don't really care about you!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
見る,みる,"1. to see, to look, to watch, to view, to observe<br>2. to examine, to look over, to assess, to check, to judge<br>3. to look after, to attend to, to take care of, to keep an eye on<br>4. to experience, to meet with (misfortune, success, etc.)<br>5. to try ..., to have a go at ..., to give ... a try<br>6. to see (that) ..., to find (that) ...",N5,92,ああ 今すぐにでも部屋に上がり 研究室を<b>見</b>たい,"Ah, I want to go to my room right now and see the laboratory.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
あれ,アレ,That one over there,N5,90,そういうのは <b>あれ</b>だよ 著作権が どうとかするよ！,"That's just the way it is, the copyright will take care of it!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E09, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
すむ,すむ,"1. to finish, to end, to be completed<br>2. to merely result in something less severe than expected<br>3. to feel at ease<br>4. to feel unease or guilt for troubling someone, to be sorry",Unlabeled,90,はい どーも <b>すみ</b>ませんでした！,"Yes, I'm sorry!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E23, S01E24, S01E25, S01E26",
先生,せんせい,"1. teacher, instructor, master<br>2. sensei, title or form of address for a teacher, master, doctor, lawyer, etc.<br>3. intimate or teasing form of address<br>4. one's elder",N5,88,いやあ  桜井<b>先生</b>が 誕生日だと聞いていたもので,"Well, I heard that it was Sakurai-sensei's birthday.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E07, S01E10, S01E11, S01E15, S01E17, S01E18, S01E19, S01E21, S01E23, S01E24, S01E25, S01E26",
その,ソノ,That (Near Listener),N5,86,しかも <b>その</b>絵を見るのが よりによって ゆっこ,"What's more, looking at that picture is even better than Yukko.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26",
だけ,だけ,"1. only, just, merely, simply, no more than, nothing but, alone<br>2. as much as, to the extent of, enough to",Unlabeled,84,でも 今の私に できることは それ<b>だけ</b>,But that's all I can do for now,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E24, S01E25, S01E26",
