Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes
僕,しもべ,"1. servant, manservant, menial",N4,650,魚が好きな<b>僕</b>には　最高のフォルムだし　味もいいよ！,"For someone like me who loves fish, it's the perfect shape and tastes great!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50"
ペンギン,ペンギン,1. penguin,Unlabeled,614,シロクマさんに　<b>ペンギン</b>さんが運転の コツを教えてもらうんですよ,The penguin is taught driving tips by the polar bear.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50"
って,って,"1. you said, he said, she said, they said<br>2. if ... then<br>3. do you seriously think that<br>4. I already told you, you should know by now that, of course<br>5. the said ..., said ...<br>6. says that ...<br>7. I hear that ...<br>8. as for the term ...<br>9. as for ...",Unlabeled,585,いつもは笹子さんがお楽しみに<b>って</b>言ってくれるでしょう,Sasako-san will always tell you to look forward to it.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50"
くん,くん,"1. Mr (junior), master, boy",Unlabeled,569,シロクマ<b>くん</b>のごはんと 一緒にしないでよ！,Don't mix it with Polar Bear's food!,"S01E01, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E43, S01E44, S01E46, S01E49, S01E50"
そう,そう,"1. appearing that, seeming that, looking like, having the appearance of",N4,504,<b>そう</b>でしょうとも！,I guess so!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50"
何,なに,"1. what<br>2. you-know-what, that thing<br>3. whatsit, whachamacallit, what's-his-name, what's-her-name<br>4. (not) at all, (not) in the slightest<br>5. what?, huh?<br>6. hey!<br>7. oh, no (it's fine), why (it's nothing), oh (certainly not)",N5,496,<b>何</b>からなにまで ありがとう!,Thank you for everything!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50"
いる,いる,To be (animate) / -ing marker,Unlabeled,429,えーと  働かないでお金がもらえる仕事が載って<b>いる</b>のはどれですか,"Well, which one has jobs where you can get paid without working?","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50"
それ,それ,"1. that, it<br>2. then, that point (in time), that time<br>3. there<br>4. you",N5,411,<b>それ</b>はもう　すごい迫力なんです！,That's already really impressive!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50"
君,きみ,"1. you, buddy, pal<br>2. monarch, ruler, sovereign, (one's) master",N4,395,でも　パンダ<b>君</b>のお母さんの機嫌を直すには,"But in order to improve panda's mother's mood,","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E21, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E33, S01E34, S01E35, S01E36, S01E37, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50"
ある,ある,To be (inanimate),N5,354,でも 夢が現実になる可能性は<b>ある</b>！,But dreams can become reality!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50"
どう,どう,"1. how, in what way, how about",N5,350,もう我慢できない <b>どう</b>思われても　私は言う！！,"I can't stand it anymore.No matter what you think, I'll say it! !","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50"
けど,けど,But / Although,Unlabeled,349,そんなに熱を入れて主張することでもない<b>けど</b>ね,It's not like I'm going to put too much effort into claiming it.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E46, S01E47, S01E48, S01E49, S01E50"
シロクマ,しろくま,1. polar bear (Ursus maritimus),Unlabeled,348,<b>シロクマ</b>くんのごはんと 一緒にしないでよ！,Don't mix it with Polar Bear's food!,"S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E10, S01E11, S01E12, S01E16, S01E17, S01E18, S01E19, S01E20, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50"
なる,なる,To become,N5,342,でも 夢が現実に<b>なる</b>可能性はある！,But dreams can become reality!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50"
こと,こと,Thing (intangible) / Nominalizer,N4,306,はい  ゴロゴロしながら笹を食べる<b>こと</b>です,"Yes, it's eating bamboo while lazing around.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50"
言う,いう,"1. to say, to utter, to declare<br>2. to name, to call<br>3. to go (e.g. ""the alarm went ping""), to make a noise",N5,303,いつもは笹子さんがお楽しみにって<b>言っ</b>てくれるでしょう,Sasako-san will always tell you to look forward to it.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50"
やる,やる,To do,N5,302,私が今 こう<b>やっ</b>て しろくまカフェで 働くことになったのも,This is how I ended up working at Polar Bear Cafe.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50"
ちゃう,ちゃう,"1. to do completely<br>2. to do accidentally, to do without meaning to, to happen to do",Unlabeled,297,またペン子さんにサービス券をサービスしてもらっ<b>ちゃっ</b>たんだ!,I also had Penko give me a service ticket!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E48, S01E49, S01E50"
じゃあ,じゃあ,"1. then, well, so, well then<br>2. be, is",N5,276,<b>じゃあ</b>　動物園にはカピバラの温泉とか あるんですか？,"So, is there a capybara hot spring at the zoo?","S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E48, S01E49, S01E50"
もう,もう,"1. now, soon, shortly, before long, presently<br>2. already, yet, by now, (not) anymore<br>3. further, more, again, another, the other<br>4. tsk, dammit, jeez, come on, what the hell",N5,271,ありがとう みんな 今日は <b>もう</b>帰るよ。,Thank you everyone. I'm going home today.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50"
たい,たい,Want to...,Unlabeled,252,もっと プライベートな時間を過ごし<b>たい</b>でやんすよ!,I want to spend more private time!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50"
カフェ,カフェ,"1. café, cafe, coffeehouse<br>2. hostess bar (serving western alcoholic beverages; Taisho and Showa period)",Unlabeled,243,私が今 こうやって しろくま<b>カフェ</b>で 働くことになったのも,This is how I ended up working at Polar Bear Cafe.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50"
食べる,たべる,"1. to eat<br>2. to live on (e.g. a salary), to live off, to subsist on",N5,242,はい  ゴロゴロしながら笹を<b>食べる</b>ことです,"Yes, it's eating bamboo while lazing around.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E20, S01E21, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50"
これ,これ,"1. this, this one<br>2. this person<br>3. now, this point (in time)<br>4. here<br>5. used to stress the subject of a sentence<br>6. I, me",N5,238,<b>これ</b>は実際に見たものと絵に定着したものとの相関とかい離を楽しんでほしいな,I hope you enjoy the correlation and disparity between what you actually see and what is fixed in the picture.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50"
行く,いく,"1. to go, to move (in a direction or towards a specific location), to head (towards), to be transported (towards), to reach<br>2. to proceed, to take place<br>3. to pass through, to come and go<br>4. to walk<br>5. to die, to pass away<br>6. to do (in a specific way)<br>7. to stream, to flow<br>8. to continue<br>9. to have an orgasm, to come, to cum<br>10. to trip, to get high, to have a drug-induced hallucination",N5,230,だから　パンダくんとこに<b>行っ</b>たってば！,That's why I went to see Panda-kun!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E28, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E41, S01E42, S01E43, S01E44, S01E45, S01E47, S01E48, S01E49, S01E50"
ちょっと,ちょっと,"1. a little, a bit, slightly<br>2. just a minute, for a moment, briefly<br>3. somewhat, rather, fairly, pretty, quite<br>4. (not) easily, (not) readily<br>5. hey!, come on, excuse me",N5,225,<b>ちょっと</b>　やめてよ！ 火が　はぜるでしょ！,Just stop! It's going to catch fire!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E48, S01E50"
笹子,笹子,1. Sasako (Auto-translated),Unlabeled,225,じゃ　<b>笹子</b>さんは名前も知らない花をきれいだなって思ったことはないですか,"So, Mr. Sasako, have you ever thought that a flower whose name you don't know is beautiful?","S01E01, S01E02, S01E03, S01E04, S01E05, S01E07, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E17, S01E18, S01E19, S01E20, S01E22, S01E23, S01E24, S01E26, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50"
半田,はんだ,"1. solder, pewter",Unlabeled,223,実は　<b>半田</b>さんともっと仲よくなりたいって女の子がいるんです,"Actually, there is a girl who wants to get closer to Mr. Handa.","S01E01, S01E03, S01E05, S01E06, S01E07, S01E09, S01E10, S01E12, S01E13, S01E14, S01E16, S01E18, S01E20, S01E21, S01E23, S01E24, S01E27, S01E28, S01E30, S01E32, S01E33, S01E35, S01E36, S01E37, S01E38, S01E39, S01E43, S01E44, S01E45, S01E46, S01E48, S01E50"
人,じん,"1. -ian (e.g. Italian), -ite (e.g. Tokyoite)<br>2. -er (e.g. performer, etc.), person working with ...<br>3. man, person, people",N5,217,でも　僕を 夢中にさせてくれる<b>人</b>はいるよ,But there are people who make me crazy,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E48, S01E49, S01E50"
あっ,あっ,"1. ah, oh<br>2. hey!",N3,207,<b>あっ</b>　シロクマさん　こんにちは！お疲れっす！,"Ah, hello polar bear! Thank you for your hard work!","S01E01, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24, S01E25, S01E26, S01E27, S01E28, S01E29, S01E30, S01E31, S01E32, S01E33, S01E34, S01E35, S01E36, S01E37, S01E38, S01E39, S01E40, S01E41, S01E42, S01E43, S01E44, S01E45, S01E46, S01E47, S01E48, S01E49, S01E50"
