Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image
ここ,ココ,Here,N5,48,<b>ここ</b>は やはり 基本に立ち返り 会話感を取り戻すことに専念だ,"Here, we must return to the basics and concentrate on regaining the sense of conversation.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
見る,みる,"1. to see, to look, to watch, to view, to observe<br>2. to examine, to look over, to assess, to check, to judge<br>3. to look after, to attend to, to take care of, to keep an eye on<br>4. to experience, to meet with (misfortune, success, etc.)<br>5. to try ..., to have a go at ..., to give ... a try<br>6. to see (that) ..., to find (that) ...",N5,48,誰でもいいから 一緒に花火が<b>見</b>たい,"It doesn't matter who you are, I want to watch fireworks with you.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
今日,きょう,"1. today, this day<br>2. these days, recently, nowadays",N5,47,<b>今日</b>一日を乗り切るには 最低でも300分 必要だ,I need at least 300 minutes to get through the day.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
たい,たい,Want to... (Verb suffix),Unlabeled,46,自分は痴漢に遭う美少女とでも 言い<b>たい</b>のか？,Do you want to say that you are a beautiful girl who gets molested?,"S01E01, S01E02, S01E03, S01E04, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
あれ,アレ,That one over there,N5,45,それに <b>あれ</b>を履くのは まだ恥ずかしいし,And I'm still embarrassed to wear those.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
こんな,こんな,"1. this sort of, this kind of, like this, such",N5,44,仮に処女喪失が<b>こんな</b>に痛かったら 一生 処女でいいわ～！,"If losing my virginity was this painful, I'd stay a virgin for the rest of my life!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
人,ひと,Person / People,N5,43,普通に ものすごく自然に <b>人</b>と会話できた～！,I was able to converse with people very naturally!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E08, S01E09, S01E10, S01E11, S01E12",
かわいい,かわいい,"1. cute, adorable, charming, lovely, pretty<br>2. dear, precious, darling, pet<br>3. innocent, childlike, childish, lovable<br>4. dainty, cute little, tiny",N5,43,私と一緒に <b>かわいい</b>ポーズでキメようね！,Let's strike a cute pose with me!,"S01E01, S01E02, S01E04, S01E05, S01E06, S01E08, S01E09, S01E10, S01E11, S01E12",
あの,アノ,That (Distant),N5,41,おはよう <b>あの</b>ことを今江さんに話したら―,"Good morning, I talked to Mr. Imae about that...","S01E01, S01E02, S01E03, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
だけ,だけ,"1. only, just, merely, simply, no more than, nothing but, alone<br>2. as much as, to the extent of, enough to",Unlabeled,38,ぼっちというか 私は ソロプレイを楽しんでる<b>だけ</b>だし,"Or rather, I just enjoy playing solo.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
さん,サン,Suffix for names (Mr./Ms.),N5,37,え～ 皆<b>さん</b>には これから殺し合いをしてもらいます,"Well, I'm going to ask you all to kill each other from now on.","S01E01, S01E02, S01E05, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
誰,だれ,1. who,N5,37,<b>誰</b>でもいいから 一緒に花火が見たい,"It doesn't matter who you are, I want to watch fireworks with you.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E12",
お前,おまえ,"1. you<br>2. presence (of a god, nobleman, etc.)",Unlabeled,36,じゃあ <b>お前</b>は 地球を侵略しに来たとでも？,So you're saying you came to invade Earth?,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E09, S01E10, S01E12",
ちゃう,チャッ,To do completely / Regret (te-shimau),Unlabeled,35,おじさんのお店を 手伝いに行くことになっ<b>ちゃっ</b>たの,I ended up going to help my uncle at his shop.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12",
男,おとこ,"1. man, male<br>2. fellow, guy, chap, bloke<br>3. male lover, boyfriend, man<br>4. manliness, manly honor, manly honour, manly reputation",N5,34,それに関わる<b>男</b>が デフォルトで存在するときのみ―,Only when the man involved exists by default...,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09",
なんて,なんて,"1. how ...!, what ...!<br>2. what?, what's that?",Unlabeled,34,友達１人もいないヤツ<b>なんて</b> さすがにいないだろ？,"There's no such thing as a guy who doesn't even have a single friend, right?","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11",
できる,できる,"1. to be able (in a position) to do, to be up to the task<br>2. to be ready, to be completed<br>3. to be made, to be built<br>4. to be good at, to be permitted (to do)<br>5. to become intimate, to take up (with somebody)<br>6. to grow, to be raised<br>7. to become pregnant",N5,34,普通に ものすごく自然に 人と会話<b>でき</b>た～！,I was able to converse with people very naturally!,"S01E01, S01E02, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12",
ほんと,ほんとう,"1. truth, reality, actuality, fact<br>2. proper, right, correct, official<br>3. genuine, authentic, real, natural, veritable",Unlabeled,34,でも 戻らないと <b>ほんと</b>に―,But I really have to go back...,"S01E02, S01E03, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
ちょっと,ちょっと,A little / A moment,N5,33,<b>ちょっと</b>でも痴漢されたいと思った 自分がバカだった,I was an idiot for wanting to be molested even just a little bit.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12",
黒木,黒木,Kuroki,Unlabeled,33,空気さんから <b>黒木</b>さんになっただけでも,Even just changing from Mr. Air to Mr. Kuroki,"S01E01, S01E02, S01E03, S01E04, S01E06, S01E08, S01E10, S01E11, S01E12",
くれる,くれる,"1. to give, to let (one) have<br>2. to give<br>3. to do for one, to take the trouble to do<br>4. to do to someone's disadvantage",N4,33,そういう冗談は 小学生までにしといて<b>くれ</b>よ,Please leave jokes like that to elementary school students.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
思う,おもう,"1. to think, to consider, to believe, to reckon<br>2. to think (of doing), to plan (to do)<br>3. to judge, to assess, to regard<br>4. to imagine, to suppose, to dream<br>5. to expect, to look forward to<br>6. to feel, to be (in a state of mind), to desire, to want<br>7. to recall, to remember",N4,33,ちょっとでも痴漢されたいと<b>思っ</b>た 自分がバカだった,I was an idiot for wanting to be molested even just a little bit.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E10, S01E11, S01E12",
今,いま,Now,N5,32,<b>今</b>は規制が厳しいから 日常系アニメしかできないんだって,"Nowadays, regulations are so strict that only daily life anime can be done.","S01E01, S01E02, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
まあ,まあ,"1. just (e.g. ""just wait here""), come now, now, now<br>2. tolerably, passably, moderately, reasonably, fairly, rather, somewhat<br>3. well..., I think..., it would seem..., you might say..., Hmmm, I guess so...<br>4. oh!, oh dear!, oh, my!, wow!, goodness gracious!, good heavens!",N3,32,<b>まあ</b> これで しばらくは Ｇをせん滅した勇者として―,"Well, now I can act as the hero who annihilated G for a while...","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
はい,はい,"1. yes, that is correct<br>2. understood, I see, OK, okay<br>3. present, here<br>4. pardon?, what's that?, come again?<br>5. now, here, here you go<br>6. giddy-up, giddap",N5,32,<b>はい</b>はい 静かに ホームルーム始めるぞ！,"Alright, quiet, let's start homeroom!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
えっ,えっ,"1. huh?, what's up?",Unlabeled,32,<b>えっ</b>!? 中学生？ 何でここに？,What!? Junior high school student? Why are you here?,"S01E01, S01E02, S01E03, S01E04, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
大丈夫,だいじょうぶ,"1. safe, secure, sound, problem-free, without fear, all right, alright, OK, okay<br>2. certainly, surely, undoubtedly<br>3. no thanks, I'm good, that's alright<br>4. great man, fine figure of a man",N5,31,うん ちょっとケツを もみほぐされただけだから <b>大丈夫</b>,"Yeah, I just had my ass massaged a little bit, so it's okay.","S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
ありがとう,ありがとう,"1. thank you, thanks",N3,31,もこっち～！ <b>ありがとう</b>～！,Mokocchi~! Thank you!,"S01E02, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12",
そんな,そんな,"1. such, that sort of, that kind of, like that<br>2. no way!, never!",N4,30,“<b>そんな</b>お姉ちゃんが 僕は大好きです”,“I love that kind of sister.”,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
じゃ,ジャ,Well then / To be (de-wa),N5,30,くっ このまま<b>じゃ</b> ほんとに夏休みが過ぎ去ってしまう,"Fuck, if this continues, summer vacation will really be over.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
俺,おれ,I / Me (Masculine),N1,30,おおっ 出た 出た 超イケメン <b>俺</b>にそっくり！,"Oh, it's here, it's here, super handsome, just like me!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E10, S01E12",
中,なか,"1. inside, interior, in<br>2. among, within<br>3. middle, center, centre<br>4. during, while, middle, midst, amid<br>5. interval, gap<br>6. mean, average<br>7. second (of three, e.g. sons, volumes), middle<br>8. medium grade, medium quality<br>9. red-light district",N5,30,一日<b>中</b> 看病してやったのに 人に風邪もうつせなかったクズが！,This scumbag couldn't even give anyone a cold even though I took care of him all day!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
まで,まで,"1. until (a time), till, to, up to<br>2. to (a place), as far as<br>3. to (an extent), up to, so far as, even<br>4. only, merely",Unlabeled,28,そういう冗談は 小学生<b>まで</b>にしといてくれよ,Please leave jokes like that to elementary school students.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E10, S01E12",
智子,智子,Tomoko,Unlabeled,28,<b>智子</b>！ ごはん！,Tomoko! Dinner!,"S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E12",
時間,じかん,"1. time<br>2. hour<br>3. period, class, lesson",N5,26,ゲームに飽きたときは おのおのが勝手に<b>時間</b>を潰す,"When you get bored with the game, everyone kills time on their own","S01E01, S01E03, S01E04, S01E05, S01E06, S01E07, S01E10, S01E11, S01E12",
入る,はいる,To enter / To be poured (tea) / To be ready,N5,26,といっても この世界に<b>入る</b>まで 私 口下手で―,"However, until I entered this world, I was not very good at talking...","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E09, S01E10, S01E11, S01E12",
楽しい,たのしい,"1. enjoyable, fun, pleasant, happy, delightful",N5,26,あれだと <b>楽しく</b>掃除ができそうです,That would make cleaning fun.,"S01E01, S01E02, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12",
友達,ともだち,"1. friend, companion",N5,25,ヤツらに 私でも かわいい<b>友達</b>が いるって自慢できるかも,Maybe I can brag to them that I have cute friends too.,"S01E01, S01E02, S01E04, S01E06, S01E08, S01E09, S01E10, S01E11",
待つ,まつ,"1. to wait<br>2. to await, to look forward to, to anticipate<br>3. to depend on, to need",N5,25,ええっ ちょっと<b>待っ</b>て！,"Yeah, wait a minute!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12",
気,き,"1. spirit, mind, heart<br>2. nature, disposition<br>3. motivation, intention<br>4. mood, feelings<br>5. ambience, atmosphere, mood",N4,25,いや～ん もう <b>気</b>にするっての！,"No, I don't care anymore!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E12",
クラス,クラス,1. class,N5,24,確かに 私のことが <b>クラス</b>でささやかれてはいたが―,It's true that people were whispering about me in class...,"S01E01, S01E02, S01E03, S01E04, S01E08, S01E10, S01E11, S01E12",
女,おんな,"1. female, woman, female sex<br>2. female lover, girlfriend, mistress, (someone's) woman",N5,24,でも <b>女</b>に 縁がない顔してるから―,But he has a face that has no connection to women...,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E10",
ヤツ,やつ,"1. fellow, guy, chap<br>2. thing, object<br>3. he, she, him, her",Unlabeled,24,傘をとるような<b>ヤツ</b>が この学校にいるんだ,There's a guy in this school who takes umbrellas.,"S01E01, S01E02, S01E03, S01E05, S01E06, S01E09, S01E10, S01E11, S01E12",
じゃん,じゃーん,"1. ta-dah!, ta-da!, voilà!<br>2. clash, crash, bang",Unlabeled,24,いい<b>じゃん</b> いいじゃん 気にすんなよ！,"It's fine, it's fine, don't worry about it!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E09, S01E10, S01E11, S01E12",
出る,でる,"1. to leave, to exit, to go out, to come out, to get out<br>2. to leave (on a journey), to depart, to start out, to set out<br>3. to move forward<br>4. to come to, to get to, to lead to, to reach<br>5. to appear, to come out, to emerge, to surface, to come forth, to turn up, to be found, to be detected, to be discovered, to be exposed, to show, to be exhibited, to be on display<br>6. to appear (in print), to be published, to be announced, to be issued, to be listed, to come out<br>7. to attend, to participate, to take part, to enter (an event), to play in, to perform<br>8. to be stated, to be expressed, to come up, to be brought up, to be raised<br>9. to sell<br>10. to exceed, to go over<br>11. to stick out, to protrude<br>12. to break out, to occur, to start, to originate<br>13. to be produced<br>14. to come from, to be derived from<br>15. to be given, to get, to receive, to be offered, to be provided, to be presented, to be submitted, to be handed in, to be turned in, to be paid<br>16. to answer (phone, door, etc.), to get<br>17. to assume (an attitude), to act, to behave<br>18. to pick up (speed, etc.), to gain<br>19. to flow (e.g. tears), to run, to bleed<br>20. to graduate<br>21. to ejaculate, to cum",N5,24,おかゆ作ってるから 代わりに<b>出</b>て！,"I'm making porridge, so please come instead!","S01E01, S01E03, S01E07, S01E08, S01E09, S01E10, S01E12",
あした,あした,1. tomorrow<br>2. near future,N3,24,ところで <b>あした</b> プリクラ 撮りに行かないか？,"By the way, would you like to go take a photo booth tomorrow?","S01E02, S01E03, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12",
せる,せる,1. to compete<br>2. to bid<br>3. to sell at auction,Unlabeled,24,クラスでのポジションを ランクアップさ<b>せる</b>ことは―,Improving your position in the class is...,"S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E09, S01E11, S01E12",
