Expression,Reading,Meaning,Level,Frequency,Sentence,Translation,Episodes,Image
私,わたし,I / Me,N5,232,実は <b>私</b>にも 人にはない能力があり その力で師匠の存在を知りました,"Actually, I have an ability that other people don't have, and through that ability, I learned about the existence of my master.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
いう,いう,"1. to say, to utter, to declare<br>2. to name, to call<br>3. to go (e.g. ""the alarm went ping""), to make a noise",Unlabeled,221,と<b>いっ</b>ても 他人を自由に操ることはできない,"However, you cannot freely manipulate others.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
いや,ひ,"1. no, the noes",Unlabeled,218,<b>いや</b> でも雰囲気はあるぜ そうそう！,"No, but the atmosphere is there, yeah!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
くれる,くれる,"1. to give, to let (one) have<br>2. to give<br>3. to do for one, to take the trouble to do<br>4. to do to someone's disadvantage",N4,206,この前は うちのおじいちゃんを 病院まで搬送して<b>くれ</b>てありがとう,Thank you for transporting my grandpa to the hospital the other day.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
俺,おれ,I / Me (Masculine),N1,203,触れることができるのは 兄である<b>俺</b>だけだ！,"The only one who can touch it is me, my brother!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
その,ソノ,That (Near Listener),N5,202,実は 私にも 人にはない能力があり <b>その</b>力で師匠の存在を知りました,"Actually, I have an ability that other people don't have, and through that ability, I learned about the existence of my master.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
けど,ケド,But / Although,Unlabeled,200,だ<b>けど</b>私は 美少女であることを 鼻にかけたりしない,But I don't boast about being a beautiful girl.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
人,ひと,Person / People,N5,194,知ったうえでも 他<b>人</b>が 人を判断することは間違ってるよ！,It's wrong for others to judge others even after knowing!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
今,いま,Now,N5,192,といっても <b>今</b>のは 力が使えなくなる予知ではない,"However, what is happening now is not a prediction that you will no longer be able to use your powers.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
燃,燃,Nen,Unlabeled,188,何であろうと <b>燃</b>堂君との勝負は 絶対に勝～つ！,"No matter what, I'll definitely win the battle with Nendou-kun!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
堂,どう,"1. temple, shrine, chapel<br>2. hall<br>3. company<br>4. front room",Unlabeled,186,何であろうと 燃<b>堂</b>君との勝負は 絶対に勝～つ！,"No matter what, I'll definitely win the battle with Nendou-kun!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
思う,おもう,"1. to think, to consider, to believe, to reckon<br>2. to think (of doing), to plan (to do)<br>3. to judge, to assess, to regard<br>4. to imagine, to suppose, to dream<br>5. to expect, to look forward to<br>6. to feel, to be (in a state of mind), to desire, to want<br>7. to recall, to remember",N4,179,僕が本当に超能力者だとは 誰も<b>思っ</b>てない,No one thinks I'm really psychic.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
だけ,だけ,"1. only, just, merely, simply, no more than, nothing but, alone<br>2. as much as, to the extent of, enough to",Unlabeled,177,霊に干渉できんのは 霊<b>だけ</b>ッスもん！,Only spirits can't interfere with spirits!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
ああ,ああ,"1. ah!, oh!, alas!<br>2. yes, indeed, that is correct<br>3. aah, gah, argh<br>4. hey!, yo!<br>5. uh huh, yeah yeah, right, gotcha",N4,171,<b>ああ</b> でも 自分の心の中を のぞかれてると思うと,"Ah, but when I think that someone is looking into my heart","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
よう,ヨウ,Seem / Like / Way,Unlabeled,170,オレの言うこと何でも聞く<b>よう</b>に 調教して下さい！,Please train me to listen to everything I say!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
分かる,わかる,"1. to understand, to comprehend, to grasp, to see, to get, to follow<br>2. to become clear, to be known, to be discovered, to be realized, to be realised, to be found out<br>3. I know!, I think so too!",N5,170,医者たちの心を読んで 薬に害がないのは<b>分かっ</b>ていたが,I read the doctors' minds and knew that the medicine wasn't harmful.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
じゃ,ジャ,Well then / To be (de-wa),N5,164,おい お前！ 冗談でも そういうこと 言うん<b>じゃ</b>ね～よ！,Hey you! Don't say things like that even if you're joking!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
あっ,あっ,"1. ah, oh<br>2. hey!",N3,163,そんなに安いんですか!? <b>あっ</b> 私 クーポンも持ってます！,"Is it that cheap!? Oh, I have a coupon too!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
こんな,こんな,"1. this sort of, this kind of, like this, such",N5,162,裏では <b>こんな</b>ことを考えている人もいる,Some people are thinking about this behind the scenes.,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
なんて,なんて,"1. how ...!, what ...!<br>2. what?, what's that?",Unlabeled,162,こんな店とも呼べない所に 連れてくる<b>なんて</b> ありえないわ！,There's no way I'd bring you to a place like this that can't even be called a store!,"S01E01, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
オレ,オーレ,1. olé,Unlabeled,161,でも あとは <b>オレ</b>に任せとけ 海藤～！,"But leave the rest to me, Kaito!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E20, S01E21, S01E22, S01E23",
まで,まで,"1. until (a time), till, to, up to<br>2. to (a place), as far as<br>3. to (an extent), up to, so far as, even<br>4. only, merely",Unlabeled,158,なにぃ!? ２人とも指導室<b>まで</b>来い！,"What!? Both of you, come to the instruction room!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
楠雄,楠雄,Kusuo,Unlabeled,152,僕だって <b>楠雄</b>じゃないのに 楠雄のフリは できないよ！,"Even though I'm not Kusuo, I can't pretend to be Kusuo!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
ここ,ココ,Here,N5,152,<b>ここ</b>で 僕が諦めるわけにはいかない！,I can't give up here!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
できる,できる,"1. to be able (in a position) to do, to be up to the task<br>2. to be ready, to be completed<br>3. to be made, to be built<br>4. to be good at, to be permitted (to do)<br>5. to become intimate, to take up (with somebody)<br>6. to grow, to be raised<br>7. to become pregnant",N5,151,といっても 他人を自由に操ることは<b>でき</b>ない,"However, you cannot freely manipulate others.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E21, S01E22, S01E23, S01E24",
橋,はし,1. bridge,N5,151,本当はもっと 照<b>橋</b>さんと一緒にいたい！,"Actually, I want to spend more time with Teruhashi-san!","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E20, S01E22, S01E23, S01E24",
知る,しる,"1. to be aware of, to know, to be conscious of, to cognize, to cognise<br>2. to notice, to feel<br>3. to understand, to comprehend, to grasp<br>4. to remember, to be acquainted with (a procedure)<br>5. to experience, to go through, to learn<br>6. to be acquainted with (a person), to get to know<br>7. to concern",N5,150,<b>知っ</b>たうえでも 他人が 人を判断することは間違ってるよ！,It's wrong for others to judge others even after knowing!,"S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
まあ,まあ,"1. just (e.g. ""just wait here""), come now, now, now<br>2. tolerably, passably, moderately, reasonably, fairly, rather, somewhat<br>3. well..., I think..., it would seem..., you might say..., Hmmm, I guess so...<br>4. oh!, oh dear!, oh, my!, wow!, goodness gracious!, good heavens!",N3,150,<b>まあ</b> あいにくだが 僕は風邪をひいたことがない,"Well, unfortunately I've never had a cold.","S01E01, S01E02, S01E03, S01E04, S01E05, S01E06, S01E07, S01E08, S01E09, S01E10, S01E11, S01E12, S01E13, S01E14, S01E15, S01E16, S01E17, S01E18, S01E19, S01E20, S01E21, S01E22, S01E23, S01E24",
